variable,type,size_per_group,group_type
AGE,scalar,1,NA
AGRI_STOCKING_DENSITY,scalar,1,NA
AGRI_STOCKING_PFT,scalar,1,NA
ALBEDO,scalar,1,NA
ALBEDO_NIR,scalar,1,NA
ALBEDO_PAR,scalar,1,NA
AREA,scalar,1,NA
AREA_SI,scalar,1,NA
ASPECT,scalar,1,NA
AVG_DAILY_TEMP,scalar,1,NA
AVG_MONTHLY_GNDWATER,scalar,1,NA
AVG_MONTHLY_WATERDEF,scalar,1,NA
A_DECOMP,scalar,1,NA
BASEFLOW,scalar,1,NA
BASEFLOW_SI,scalar,1,NA
CAN_CO2,scalar,1,NA
CAN_DEPTH,scalar,1,NA
CAN_PRSS,scalar,1,NA
CAN_RHOS,scalar,1,NA
CAN_SHV,scalar,1,NA
CAN_TEMP,scalar,1,NA
CAN_TEMP_PV,scalar,1,NA
CAN_THEIV,scalar,1,NA
CAN_THETA,scalar,1,NA
CAN_VPDEF,scalar,1,NA
CBUDGET_INITIALSTORAGE,scalar,1,NA
CBUDGET_NEP,scalar,1,NA
CCWD_FLUX,scalar,1,NA
CDEAD_GROW,scalar,1,NA
CLEAF_GROW,scalar,1,NA
CLEAF_LITTER_FLUX,scalar,1,NA
CO2BUDGET_DENSEFFECT,scalar,1,NA
CO2BUDGET_GPP,scalar,1,NA
CO2BUDGET_INITIALSTORAGE,scalar,1,NA
CO2BUDGET_LOSS2ATM,scalar,1,NA
CO2BUDGET_PLRESP,scalar,1,NA
CO2BUDGET_RESIDUAL,scalar,1,NA
CO2BUDGET_RH,scalar,1,NA
COSAOI,scalar,1,NA
COSZ,scalar,1,NA
CPWP,scalar,1,NA
CROOT_GROW,scalar,1,NA
CROOT_LITTER_FLUX,scalar,1,NA
CSTAR,scalar,1,NA
CSTORE_GROW,scalar,1,NA
CWD_C_PY,scalar,1,NA
CWD_N_PY,scalar,1,NA
CWD_RH,scalar,1,NA
DAYLIGHT,scalar,1,NA
DIST_TYPE,scalar,1,NA
EBUDGET_DENSEFFECT,scalar,1,NA
EBUDGET_INITIALSTORAGE,scalar,1,NA
EBUDGET_LOSS2ATM,scalar,1,NA
EBUDGET_LOSS2DRAINAGE,scalar,1,NA
EBUDGET_LOSS2RUNOFF,scalar,1,NA
EBUDGET_NETRAD,scalar,1,NA
EBUDGET_PRECIPGAIN,scalar,1,NA
EBUDGET_PRSSEFFECT,scalar,1,NA
EBUDGET_RESIDUAL,scalar,1,NA
ELEVATION,scalar,1,NA
FAST_SOIL_C,scalar,1,NA
FAST_SOIL_C_PY,scalar,1,NA
FAST_SOIL_N,scalar,1,NA
FAST_SOIL_N_PY,scalar,1,NA
FF_NHGT,scalar,1,NA
FSC_IN,scalar,1,NA
FSN_IN,scalar,1,NA
F_DECOMP,scalar,1,NA
GGBARE,scalar,1,NA
GGNET,scalar,1,NA
GGSOIL,scalar,1,NA
GGVEG,scalar,1,NA
