PFT, Species
Early-successional hardwood, Ailanthus altissima
Early-successional hardwood, Albizia julibrissin
Early-successional hardwood, Alnus spp.
Early-successional hardwood, Amelanchier alnifolia
Early-successional hardwood, Amelanchier arborea
Early-successional hardwood, Amelanchier spicata
Early-successional hardwood, Betula spp.
Early-successional hardwood, Betula alleghaniensis
Early-successional hardwood, Betula lenta
Early-successional hardwood, Betula nigra
Early-successional hardwood, Betula papyrifera
Early-successional hardwood, Betula populifolia
Early-successional hardwood, Bursera simaruba
Early-successional hardwood, Catalpa spp.
Early-successional hardwood, Catalpa bignoniodes
Early-successional hardwood, Catalpa speciosa
Early-successional hardwood, Elaeagnus angustifolia
Early-successional hardwood, Ficus aurea
Early-successional hardwood, Gleditsia spp.
Early-successional hardwood, Gleditsia triacanthos
Early-successional hardwood, Gymnocladus dioicus
Early-successional hardwood, Ilex ambigua
Early-successional hardwood, Larix spp.
Early-successional hardwood, Liquidambar styraciflua
Early-successional hardwood, Liriodendron tulipifera
Early-successional hardwood, Maclura pomifera
Early-successional hardwood, Malus spp.
Early-successional hardwood, Melia azedarach
Early-successional hardwood, Paulownia tomentosa
Early-successional hardwood, Populus spp.
Early-successional hardwood, Populus alba
Early-successional hardwood, Populus balsamifera
Early-successional hardwood, Populus deltoides sub monilifera
Early-successional hardwood, Populus deltoides
Early-successional hardwood, Populus grandidentata
Early-successional hardwood, Populus tremuloides
Early-successional hardwood, Prosopis spp.
Early-successional hardwood, Prospopis glandulosa
Early-successional hardwood, Prosopis pubescens
Early-successional hardwood, Prunus spp.
Early-successional hardwood, Prunus americana
Early-successional hardwood, Prunus avium
Early-successional hardwood, Prunus nigra
Early-successional hardwood, Prunus pensylvanica
Early-successional hardwood, Prunus serotina
Early-successional hardwood, Prunus virginiana
Early-successional hardwood, Robinia pseudoacacia
Early-successional hardwood, Salix spp.
Early-successional hardwood, Salix alba
Early-successional hardwood, Salix bebbiana
Early-successional hardwood, Salix caroliniana
Early-successional hardwood, Salix nigra
Early-successional hardwood, Salix sepulcralis
