Site,Plot,Site_Plot,Subplot,Collection_Year,Alpha,Gamma_E,DHP_LAIe_1_6_m2_m2,DHP_LAIe_c_m2_m2,CI_CLX_10_60,LAI_CLX_10_60_m2_m2,LAI_Alpha_GammaE_CLX_10_60_m2_m2,OPENESS_10_60,1-OPENESS_10_60,FCOVER_10_25,FPAR_LAIe
BH,2,BH02,A,2008,0,1,3.246,3.76536,0.664,5.670722892,5.670722892,0.114,0.886,0.866,0.816292783
BH,2,BH02,B,2008,0,1,3.189,3.69924,0.676,5.472248521,5.472248521,0.12,0.88,0.87,0.810744628
BH,2,BH02,BC,2008,0,1,3.293,3.81988,0.723,5.283374827,5.283374827,0.113,0.887,0.797,0.820745017
BH,2,BH02,C,2008,0,1,3.133,3.63428,0.705,5.155007092,5.155007092,0.132,0.868,0.872,0.805130661
BH,2,BH02,CD,2008,0,1,3.634,4.21544,0.67,6.291701493,6.291701493,0.089,0.911,0.89,0.8499742
BH,2,BH02,D,2008,0,1,3.127,3.62732,0.714,5.080280112,5.080280112,0.126,0.874,0.843,0.804519373
BH,2,BH02,DE,2008,0,1,3.756,4.35696,0.69,6.314434783,6.314434783,0.08,0.92,0.858,0.859230573
BH,2,BH02,E,2008,0,1,2.432,2.82112,0.719,3.923671766,3.923671766,0.188,0.812,0.737,0.719029051
BH,2,BH02,EB,2008,0,1,3.154,3.65864,0.707,5.174879774,5.174879774,0.125,0.875,0.828,0.807255153
BH,3,BH03,A,2008,0,1,2.973,3.44868,0.777,4.438455598,4.438455598,0.14,0.86,0.826,0.788156186
BH,3,BH03,B,2008,0,1,3.258,3.77928,0.764,4.946701571,4.946701571,0.114,0.886,0.813,0.817439928
BH,3,BH03,BC,2008,0,1,3.34,3.8744,0.755,5.131655629,5.131655629,0.116,0.884,0.891,0.825089349
BH,3,BH03,C,2008,0,1,3.537,4.10292,0.761,5.391484888,5.391484888,0.094,0.906,0.885,0.842182188
BH,3,BH03,CD,2008,0,1,3.19,3.7004,0.772,4.793264249,4.793264249,0.119,0.881,0.878,0.810843393
BH,3,BH03,D,2008,0,1,3.045,3.5322,0.762,4.635433071,4.635433071,0.128,0.872,0.828,0.79597036
BH,3,BH03,DE,2008,0,1,3.771,4.37436,0.762,5.740629921,5.740629921,0.084,0.916,0.906,0.860328494
BH,3,BH03,E,2008,0,1,3.307,3.83612,0.783,4.899259259,4.899259259,0.111,0.889,0.837,0.822050237
BH,3,BH03,EB,2008,0,1,3.487,4.04492,0.772,5.239533679,5.239533679,0.098,0.902,0.896,0.838008919
BH,5,BH05,A,2008,0,1,3.924,4.55184,0.743,6.126298789,6.126298789,0.085,0.915,0.883,0.871049672
BH,5,BH05,B,2008,0,1,3.883,4.50428,0.763,5.903381389,5.903381389,0.087,0.913,0.928,0.868260132
BH,5,BH05,BC,2008,0,1,3.344,3.87904,0.766,5.064020888,5.064020888,0.117,0.883,0.842,0.825454181
BH,5,BH05,C,2008,0,1,3.234,3.75144,0.812,4.62,4.62,0.114,0.886,0.797,0.815138429
BH,5,BH05,CD,2008,0,1,3.367,3.90572,0.728,5.365,5.365,0.115,0.885,0.884,0.827537249
BH,5,BH05,D,2008,0,1,3.417,3.96372,0.737,5.378181818,5.378181818,0.108,0.892,0.858,0.831980293
BH,5,BH05,DE,2008,0,1,3.687,4.27692,0.775,5.518606452,5.518606452,0.085,0.915,0.88,0.854067924
BH,5,BH05,E,2008,0,1,3.585,4.1586,0.726,5.728099174,5.728099174,0.09,0.91,0.932,0.846087343
BH,5,BH05,EB,2008,0,1,3.357,3.89412,0.782,4.979693095,4.979693095,0.109,0.891,0.88,0.826634639
BH,6,BH06,B,2008,0,1,3.006,3.48696,0.764,4.56408377,4.56408377,0.131,0.869,0.779,0.791774156
BH,6,BH06,BC,2008,0,1,2.884,3.34544,0.75,4.460586667,4.460586667,0.146,0.854,0.831,0.778082148
BH,6,BH06,C,2008,0,1,3.594,4.16904,0.758,5.50005277,5.50005277,0.101,0.899,0.925,0.846808729
BH,7,BH07,A,2008,0,1,3.177,3.68532,0.773,4.767554981,4.767554981,0.122,0.878,0.846,0.809555411
BH,7,BH07,B,2008,0,1,3.73,4.3268,0.779,5.554300385,5.554300385,0.082,0.918,0.84,0.857307027
BH,7,BH07,BC,2008,0,1,3.193,3.70388,0.747,4.958340027,4.958340027,0.123,0.877,0.838,0.811139381
BH,7,BH07,C,2008,0,1,3.731,4.32796,0.759,5.702187088,5.702187088,0.086,0.914,0.786,0.857381493
BH,7,BH07,CD,2008,0,1,3.082,3.57512,0.796,4.491356784,4.491356784,0.129,0.871,0.712,0.799873177
BH,7,BH07,D,2008,0,1,3.02,3.5032,0.759,4.615546772,4.615546772,0.129,0.871,0.83,0.793290324
BH,7,BH07,DE,2008,0,1,3.018,3.50088,0.766,4.570339426,4.570339426,0.137,0.863,0.811,0.793074406
BH,7,BH07,E,2008,0,1,3.564,4.13424,0.792,5.22,5.22,0.095,0.905,0.857,0.844390871
BH,7,BH07,EB,2008,0,1,4.135,4.7966,0.772,6.213212435,6.213212435,0.063,0.937,0.917,0.884498296
BH,9,BH09,A,2008,0,1,5.393,6.25588,0.788,7.93893401,7.93893401,0.03,0.97,0.968,0.940104027
BH,9,BH09,B,2008,0,1,2.591,3.00556,0.782,3.84342711,3.84342711,0.172,0.828,0.767,0.741407548
BH,9,BH09,BC,2008,0,1,3.376,3.91616,0.73,5.36460274,5.36460274,0.11,0.89,0.783,0.828345578
BH,9,BH09,C,2008,0,1,3.31,3.8396,0.768,4.999479167,4.999479167,0.115,0.885,0.781,0.822328688
BH,9,BH09,CD,2008,0,1,3.717,4.31172,0.79,5.457873418,5.457873418,0.085,0.915,0.89,0.85633542
BH,9,BH09,D,2008,0,1,3.445,3.9962,0.796,5.020351759,5.020351759,0.099,0.901,0.853,0.834418209
BH,9,BH09,DE,2008,0,1,3.586,4.15976,0.742,5.606145553,5.606145553,0.089,0.911,0.831,0.846167664
BH,9,BH09,E,2008,0,1,3.424,3.97184,0.779,5.098639281,5.098639281,0.1,0.9,0.867,0.832593116
BH,9,BH09,EB,2008,0,1,3.474,4.02984,0.745,5.409181208,5.409181208,0.098,0.902,0.899,0.836905909
BH,10,BH10,A,2008,0,1,3.329,3.86164,0.754,5.121538462,5.121538462,0.122,0.878,0.936,0.824082123
BH,10,BH10,B,2008,0,1,3.112,3.60992,0.718,5.027743733,5.027743733,0.124,0.876,0.833,0.802982752
BH,10,BH10,BC,2008,0,1,3.552,4.12032,0.633,6.509194313,6.509194313,0.102,0.898,0.924,0.843413076
BH,10,BH10,C,2008,0,1,3.628,4.20848,0.718,5.861392758,5.861392758,0.095,0.905,0.908,0.849503583
BH,10,BH10,CD,2008,0,1,4.418,5.12488,0.776,6.604226804,6.604226804,0.055,0.945,0.949,0.90036044
BH,10,BH10,D,2008,0,1,3.565,4.1354,0.784,5.274744898,5.274744898,0.107,0.893,0.959,0.844472078
BH,10,BH10,DE,2008,0,1,3.439,3.98924,0.69,5.781507246,5.781507246,0.101,0.899,0.861,0.833898794
BH,10,BH10,E,2008,0,1,3.539,4.10524,0.703,5.839601707,5.839601707,0.093,0.907,0.845,0.842346864
BH,10,BH10,EB,2008,0,1,3.155,3.6598,0.731,5.006566347,5.006566347,0.126,0.874,0.883,0.807355739
BH,11,BH11,A,2008,0,1,2.905,3.3698,0.79,4.26556962,4.26556962,0.14,0.86,0.81,0.780501526
