site,date,BLUE,GREEN,NIR,RED,SWIR1,SWIR2
AK60,1984-03-24,3157,3168,3962,3350,682,507
AK60,1984-05-07,736,884,2036,927,945,560
AK60,1984-06-08,405,507,1479,399,620,380
AK60,1984-07-03,3326,5496,7198,5435,6051,5537
AK60,1984-07-10,202,436,2649,305,1319,641
AK60,1984-08-20,216,386,1701,238,780,369
AK60,1984-09-28,225,309,1401,327,880,401
AK60,1984-10-07,285,356,1396,369,905,526
AK60,1984-10-14,128,280,1154,212,706,500
AK60,1985-01-18,2145,2014,2032,1787,250,136
AK60,1985-01-27,3962,3944,4177,3832,962,714
AK60,1985-02-03,2734,2511,2590,2419,301,185
AK60,1985-07-13,216,374,2448,276,1199,591
AK60,1985-07-22,254,456,2919,315,1372,641
AK60,1985-07-29,224,368,2405,269,1155,544
AK60,1985-08-14,191,373,2472,267,1159,572
AK60,1985-09-15,131,230,1629,224,955,498
AK60,1985-10-17,152,186,1040,173,592,304
AK60,1985-10-26,156,221,951,196,561,328
AK60,1986-01-14,2038,1812,1922,1602,311,138
AK60,1986-01-30,2615,2458,2558,2299,179,124
AK60,1986-02-22,2569,2534,2769,2374,289,210
AK60,1986-03-03,2681,2735,3192,2620,476,404
AK60,1986-05-13,165,320,1495,313,1129,663
AK60,1986-06-30,201,469,2779,304,1168,552
AK60,1986-08-17,232,354,2136,244,978,466
AK60,1986-08-26,209,342,1909,230,905,471
AK60,1986-10-20,113,160,869,235,508,207
AK60,1986-10-29,258,211,895,188,437,224
AK60,1986-11-30,597,593,944,465,200,217
AK60,1987-01-08,2347,2202,1652,1784,219,242
AK60,1987-01-17,2726,2357,1874,2090,95,58
AK60,1987-03-06,3705,3726,3839,3632,612,507
AK60,1987-03-29,1942,2031,2877,2057,445,197
AK60,1987-04-23,2e4,5511,5631,5338,3236,2697
AK60,1987-05-16,223,378,1661,365,1170,659
AK60,1987-06-10,260,484,2908,344,1356,646
AK60,1987-06-17,174,492,2828,299,1193,576
AK60,1987-07-28,192,418,2767,279,1350,606
AK60,1987-08-04,369,492,2543,311,1209,520
AK60,1987-08-13,207,394,2490,287,1237,597
AK60,1987-10-16,301,351,1211,275,631,414
AK60,1987-11-01,207,183,1070,160,473,349
AK60,1988-01-27,2443,2210,2e3,1965,180,124
AK60,1988-02-05,1737,1572,2088,1434,342,313
AK60,1988-02-28,2697,2751,3076,2608,412,357
AK60,1988-03-08,1964,1876,2785,1844,607,377
AK60,1988-03-31,1426,1587,2480,1524,473,269
AK60,1988-04-09,1353,1431,2467,1344,438,260
AK60,1988-06-12,346,514,2613,380,1361,697
AK60,1988-06-19,182,455,2491,267,1148,508
AK60,1988-06-28,301,534,3230,358,1487,688
