system:time_start,BLUE
"Mar 24, 1984","3,157"
"May 7, 1984",736
"Jun 1, 1984",
"Jun 8, 1984",405
"Jun 17, 1984",
"Jul 3, 1984","3,326"
"Jul 10, 1984",202
"Jul 19, 1984",
"Aug 20, 1984",216
"Aug 27, 1984",
"Sep 5, 1984",
"Sep 21, 1984",
"Sep 28, 1984",225
"Oct 7, 1984",285
"Oct 14, 1984",128
"Nov 8, 1984",
"Nov 24, 1984",
"Dec 17, 1984",
"Dec 26, 1984",
"Jan 11, 1985",
"Jan 18, 1985","2,145"
"Jan 27, 1985","3,962"
"Feb 3, 1985","2,734"
"Feb 28, 1985",
"Mar 23, 1985",
"Apr 17, 1985",
"Jun 4, 1985",
"Jun 20, 1985",
"Jul 13, 1985",216
"Jul 22, 1985",254
"Jul 29, 1985",224
"Aug 14, 1985",191
"Aug 23, 1985",
"Sep 8, 1985",
"Sep 15, 1985",131
"Oct 1, 1985",
"Oct 10, 1985",
"Oct 17, 1985",152
"Oct 26, 1985",156
"Nov 2, 1985",
"Jan 14, 1986","2,038"
"Jan 30, 1986","2,615"
"Feb 15, 1986",
"Feb 22, 1986","2,569"
"Mar 3, 1986","2,681"
"Apr 20, 1986",
"May 13, 1986",165
"Jun 14, 1986",
"Jun 30, 1986",201
"Jul 16, 1986",
"Jul 25, 1986",
"Aug 10, 1986",
"Aug 17, 1986",232
"Aug 26, 1986",209
"Sep 2, 1986",
"Sep 18, 1986",
"Sep 27, 1986",
"Oct 20, 1986",113
"Oct 29, 1986",258
"Nov 30, 1986",597
"Dec 23, 1986",
"Jan 1, 1987",
"Jan 8, 1987","2,347"
"Jan 17, 1987","2,726"
"Jan 24, 1987",
"Feb 18, 1987",
"Feb 25, 1987",
"Mar 6, 1987","3,705"
"Mar 13, 1987",
"Mar 29, 1987","1,942"
"Apr 14, 1987",
"Apr 23, 1987","20,000"
"May 9, 1987",
"May 16, 1987",223
"Jun 1, 1987",
"Jun 10, 1987",260
"Jun 17, 1987",174
"Jun 26, 1987",
"Jul 12, 1987",
"Jul 19, 1987",
"Jul 28, 1987",192
"Aug 4, 1987",369
"Aug 13, 1987",207
"Aug 20, 1987",
"Sep 5, 1987",
"Sep 14, 1987",
"Sep 21, 1987",
"Oct 16, 1987",301
"Oct 23, 1987",
"Nov 1, 1987",207
"Nov 17, 1987",
"Nov 24, 1987",
"Dec 3, 1987",
"Jan 27, 1988","2,443"
"Feb 5, 1988","1,737"
"Feb 21, 1988",
"Feb 28, 1988","2,697"
"Mar 8, 1988","1,964"
"Mar 24, 1988",
"Mar 31, 1988","1,426"
