system:time_start,GREEN
"Mar 24, 1984","3,168"
"May 7, 1984",884
"Jun 1, 1984",
"Jun 8, 1984",507
"Jun 17, 1984",
"Jul 3, 1984","5,496"
"Jul 10, 1984",436
"Jul 19, 1984",
"Aug 20, 1984",386
"Aug 27, 1984",
"Sep 5, 1984",
"Sep 21, 1984",
"Sep 28, 1984",309
"Oct 7, 1984",356
"Oct 14, 1984",280
"Nov 8, 1984",
"Nov 24, 1984",
"Dec 17, 1984",
"Dec 26, 1984",
"Jan 11, 1985",
"Jan 18, 1985","2,014"
"Jan 27, 1985","3,944"
"Feb 3, 1985","2,511"
"Feb 28, 1985",
"Mar 23, 1985",
"Apr 17, 1985",
"Jun 4, 1985",
"Jun 20, 1985",
"Jul 13, 1985",374
"Jul 22, 1985",456
"Jul 29, 1985",368
"Aug 14, 1985",373
"Aug 23, 1985",
"Sep 8, 1985",
"Sep 15, 1985",230
"Oct 1, 1985",
"Oct 10, 1985",
"Oct 17, 1985",186
"Oct 26, 1985",221
"Nov 2, 1985",
"Jan 14, 1986","1,812"
"Jan 30, 1986","2,458"
"Feb 15, 1986",
"Feb 22, 1986","2,534"
"Mar 3, 1986","2,735"
"Apr 20, 1986",
"May 13, 1986",320
"Jun 14, 1986",
"Jun 30, 1986",469
"Jul 16, 1986",
"Jul 25, 1986",
"Aug 10, 1986",
"Aug 17, 1986",354
"Aug 26, 1986",342
"Sep 2, 1986",
"Sep 18, 1986",
"Sep 27, 1986",
"Oct 20, 1986",160
"Oct 29, 1986",211
"Nov 30, 1986",593
"Dec 23, 1986",
"Jan 1, 1987",
"Jan 8, 1987","2,202"
"Jan 17, 1987","2,357"
"Jan 24, 1987",
"Feb 18, 1987",
"Feb 25, 1987",
"Mar 6, 1987","3,726"
"Mar 13, 1987",
"Mar 29, 1987","2,031"
"Apr 14, 1987",
"Apr 23, 1987","5,511"
"May 9, 1987",
"May 16, 1987",378
"Jun 1, 1987",
"Jun 10, 1987",484
"Jun 17, 1987",492
"Jun 26, 1987",
"Jul 12, 1987",
"Jul 19, 1987",
"Jul 28, 1987",418
"Aug 4, 1987",492
"Aug 13, 1987",394
"Aug 20, 1987",
"Sep 5, 1987",
"Sep 14, 1987",
"Sep 21, 1987",
"Oct 16, 1987",351
"Oct 23, 1987",
"Nov 1, 1987",183
"Nov 17, 1987",
"Nov 24, 1987",
"Dec 3, 1987",
"Jan 27, 1988","2,210"
"Feb 5, 1988","1,572"
"Feb 21, 1988",
