system:time_start,RED
"Mar 24, 1984","3,350"
"May 7, 1984",927
"Jun 1, 1984",
"Jun 8, 1984",399
"Jun 17, 1984",
"Jul 3, 1984","5,435"
"Jul 10, 1984",305
"Jul 19, 1984",
"Aug 20, 1984",238
"Aug 27, 1984",
"Sep 5, 1984",
"Sep 21, 1984",
"Sep 28, 1984",327
"Oct 7, 1984",369
"Oct 14, 1984",212
"Nov 8, 1984",
"Nov 24, 1984",
"Dec 17, 1984",
"Dec 26, 1984",
"Jan 11, 1985",
"Jan 18, 1985","1,787"
"Jan 27, 1985","3,832"
"Feb 3, 1985","2,419"
"Feb 28, 1985",
"Mar 23, 1985",
"Apr 17, 1985",
"Jun 4, 1985",
"Jun 20, 1985",
"Jul 13, 1985",276
"Jul 22, 1985",315
"Jul 29, 1985",269
"Aug 14, 1985",267
"Aug 23, 1985",
"Sep 8, 1985",
"Sep 15, 1985",224
"Oct 1, 1985",
"Oct 10, 1985",
"Oct 17, 1985",173
"Oct 26, 1985",196
"Nov 2, 1985",
"Jan 14, 1986","1,602"
"Jan 30, 1986","2,299"
"Feb 15, 1986",
"Feb 22, 1986","2,374"
"Mar 3, 1986","2,620"
"Apr 20, 1986",
"May 13, 1986",313
"Jun 14, 1986",
"Jun 30, 1986",304
"Jul 16, 1986",
"Jul 25, 1986",
"Aug 10, 1986",
"Aug 17, 1986",244
"Aug 26, 1986",230
"Sep 2, 1986",
"Sep 18, 1986",
"Sep 27, 1986",
"Oct 20, 1986",235
"Oct 29, 1986",188
"Nov 30, 1986",465
"Dec 23, 1986",
"Jan 1, 1987",
"Jan 8, 1987","1,784"
"Jan 17, 1987","2,090"
"Jan 24, 1987",
"Feb 18, 1987",
"Feb 25, 1987",
"Mar 6, 1987","3,632"
"Mar 13, 1987",
"Mar 29, 1987","2,057"
"Apr 14, 1987",
"Apr 23, 1987","5,338"
"May 9, 1987",
"May 16, 1987",365
"Jun 1, 1987",
"Jun 10, 1987",344
"Jun 17, 1987",299
"Jun 26, 1987",
"Jul 12, 1987",
"Jul 19, 1987",
"Jul 28, 1987",279
"Aug 4, 1987",311
"Aug 13, 1987",287
"Aug 20, 1987",
"Sep 5, 1987",
"Sep 14, 1987",
"Sep 21, 1987",
"Oct 16, 1987",275
"Oct 23, 1987",
"Nov 1, 1987",160
"Nov 17, 1987",
"Nov 24, 1987",
"Dec 3, 1987",
"Jan 27, 1988","1,965"
"Feb 5, 1988","1,434"
"Feb 21, 1988",
"Feb 28, 1988","2,608"
"Mar 8, 1988","1,844"
"Mar 24, 1988",
"Mar 31, 1988","1,524"
"Apr 9, 1988","1,344"
"May 2, 1988",
"May 27, 1988",
"Jun 12, 1988",380
"Jun 19, 1988",267
"Jun 28, 1988",358
"Jul 5, 1988",
"Jul 14, 1988",
"Jul 30, 1988",
"Aug 15, 1988",
"Aug 22, 1988",228
"Aug 31, 1988",
"Sep 7, 1988",
"Sep 16, 1988",188
"Oct 2, 1988",
"Oct 9, 1988",
"Nov 19, 1988",
"Nov 26, 1988",337
"Dec 5, 1988","1,177"
"Jan 22, 1989","1,897"
"Feb 23, 1989",
"Mar 2, 1989",
"Mar 11, 1989",
"Mar 27, 1989","1,780"
"Apr 12, 1989",
"Apr 19, 1989","1,115"
"Apr 28, 1989",923
"May 14, 1989",
"May 21, 1989",
"Jun 6, 1989",
"Jul 1, 1989",
"Jul 8, 1989",53
"Jul 17, 1989",
"Jul 24, 1989",348
"Aug 2, 1989",
"Aug 9, 1989",290
"Aug 18, 1989",
"Sep 3, 1989",232
"Sep 10, 1989",
"Sep 26, 1989",
"Oct 5, 1989",197
"Nov 13, 1989",
"Nov 22, 1989","1,739"
"Dec 15, 1989","1,156"
"Dec 24, 1989","2,465"
"Jan 9, 1990",
"Jan 16, 1990","2,000"
"Apr 6, 1990",
"Apr 22, 1990",
"May 1, 1990",531
"May 24, 1990",
"Jun 2, 1990",
"Jul 4, 1990",
"Jul 11, 1990",391
"Jul 27, 1990",227
"Aug 5, 1990",
"Aug 21, 1990",
"Aug 28, 1990",
"Sep 6, 1990",
"Sep 13, 1990",
"Sep 29, 1990",851
"Oct 8, 1990",
"Oct 15, 1990",343
"Oct 31, 1990",220
"Nov 9, 1990",
"Nov 16, 1990",
"Nov 25, 1990",
"Dec 11, 1990",
"Dec 27, 1990",
"Jan 3, 1991",
"Jan 19, 1991",
"Jan 28, 1991","1,634"
"Feb 4, 1991",751
"Feb 13, 1991",
"Mar 1, 1991",
"Mar 8, 1991",
"May 4, 1991",620
"May 11, 1991",313
"May 20, 1991",392
"Jun 21, 1991",415
"Jul 23, 1991",438
"Jul 30, 1991",250
"Aug 8, 1991",
"Aug 24, 1991",442
"Sep 9, 1991",280
"Sep 16, 1991",
"Oct 11, 1991",
"Oct 18, 1991",227
"Oct 27, 1991",
"Nov 3, 1991",374
"Nov 19, 1991",
"Nov 28, 1991",
"Dec 5, 1991",
"Dec 30, 1991",913
"Jan 22, 1992","1,539"
"Feb 7, 1992",
"Mar 3, 1992",
"Apr 4, 1992",
"Apr 20, 1992","5,900"
"May 6, 1992","3,434"
"May 13, 1992",450
"May 22, 1992",493
"May 29, 1992",358
"Jun 7, 1992",
"Jun 14, 1992",505
"Jun 23, 1992",371
"Jul 9, 1992",
"Jul 25, 1992",315
"Aug 1, 1992",
"Aug 26, 1992",297
"Sep 2, 1992",298
"Sep 11, 1992",
"Sep 18, 1992",482
"Oct 4, 1992",233
"Oct 13, 1992",
"Oct 20, 1992",
"Nov 5, 1992",
"Feb 2, 1993","2,043"
"Feb 9, 1993",
"Feb 18, 1993",
"Feb 25, 1993","2,730"
"Apr 7, 1993","1,868"
"Apr 14, 1993",
"Apr 30, 1993",
"May 9, 1993",429
"May 25, 1993",
"Jun 10, 1993",
"Jun 17, 1993",268
"Jun 26, 1993",
"Jul 28, 1993",
"Aug 4, 1993",
"Aug 13, 1993",
"Aug 29, 1993",
"Sep 5, 1993",
"Sep 21, 1993",
"Sep 30, 1993",
"Oct 7, 1993",315
"Oct 16, 1993",252
"Oct 23, 1993",616
"Nov 8, 1993",
"Dec 3, 1993",
"Dec 26, 1993",
"Jan 20, 1994","1,966"
"Jan 27, 1994","1,859"
"Feb 5, 1994",
"Feb 12, 1994","1,206"
"Feb 28, 1994","2,039"
"Apr 1, 1994","1,795"
"Apr 26, 1994",
"May 3, 1994",769
"Jun 4, 1994",304
"Jun 13, 1994",341
"Jun 20, 1994",216
"Jul 6, 1994",
"Jul 22, 1994",
"Jul 31, 1994",384
"Aug 7, 1994",214
"Aug 16, 1994",
"Aug 23, 1994",224
"Sep 8, 1994",
"Sep 17, 1994","5,092"
"Oct 3, 1994",237
"Oct 10, 1994",
"Oct 26, 1994",
"Nov 4, 1994",
"Nov 11, 1994",
"Nov 27, 1994",881
"Dec 13, 1994",538
"Dec 22, 1994",178
"Dec 29, 1994",
"Jan 14, 1995",
"Jan 30, 1995",830
"Feb 8, 1995","1,670"
"Mar 12, 1995",936
"Mar 19, 1995",
"Mar 28, 1995",538
"May 6, 1995",333
"May 31, 1995",375
"Jun 7, 1995",
"Jun 16, 1995",295
"Jun 23, 1995",288
"Jul 2, 1995",
"Jul 18, 1995",
"Jul 25, 1995",
"Aug 10, 1995",167
"Aug 19, 1995",
"Sep 4, 1995",298
"Sep 11, 1995",168
"Sep 20, 1995",
"Sep 27, 1995",245
"Oct 13, 1995",191
"Oct 22, 1995",
"Nov 7, 1995",
"Nov 30, 1995",-64
"Jan 26, 1996",
"Feb 2, 1996",
"Feb 18, 1996","2,855"
"Feb 27, 1996",618
"Mar 14, 1996",
"Mar 30, 1996",801
"Apr 6, 1996",769
"Apr 15, 1996","1,811"
"Apr 22, 1996",
"May 1, 1996",
"May 8, 1996",
"May 24, 1996",280
"Jun 2, 1996",351
"Jun 9, 1996",
"Jun 18, 1996",
"Jul 11, 1996",225
"Jul 20, 1996",
"Aug 5, 1996",206
"Aug 12, 1996",
"Aug 21, 1996",259
"Aug 28, 1996",
"Sep 6, 1996",236
"Sep 22, 1996",
"Sep 29, 1996",
"Oct 8, 1996",
"Oct 15, 1996",131
"Oct 31, 1996",169
"Nov 16, 1996",869
"Dec 27, 1996",
"Jan 12, 1997",
"Jan 19, 1997",
"Feb 4, 1997",
"Feb 13, 1997","1,968"
"Feb 20, 1997","1,083"
"May 11, 1997",
"May 20, 1997",
"May 27, 1997",
"Jun 12, 1997",290
"Jun 21, 1997",
"Jun 28, 1997",231
"Jul 7, 1997",
"Jul 14, 1997",447
"Jul 23, 1997",237
"Jul 30, 1997",
"Aug 31, 1997",
"Sep 16, 1997",
"Sep 25, 1997",
"Oct 2, 1997",
"Oct 11, 1997",182
"Nov 3, 1997",
"Dec 14, 1997","1,584"
"Dec 21, 1997",557
"Jan 22, 1998","1,342"
"Feb 7, 1998",295
"Feb 16, 1998",807
"Mar 11, 1998","1,416"
"Apr 21, 1998",
"Apr 28, 1998",320
"May 7, 1998",
"May 14, 1998",302
"May 23, 1998",310
"May 30, 1998",264
"Jun 15, 1998",
"Jul 10, 1998",
"Jul 17, 1998",379
"Jul 26, 1998",
"Aug 2, 1998",
"Aug 27, 1998",212
"Sep 3, 1998",
"Sep 12, 1998",
"Sep 19, 1998",
"Oct 5, 1998",376
"Oct 30, 1998",
"Nov 22, 1998",
"Dec 24, 1998",
"Jan 2, 1999",
"Jan 25, 1999",
"Feb 3, 1999",
"Feb 26, 1999",366
"Mar 7, 1999","1,378"
"Mar 23, 1999",
"Mar 30, 1999",580
"Apr 8, 1999",
"Apr 15, 1999",498
"Apr 24, 1999",593
"May 1, 1999",429
"May 10, 1999",
"May 17, 1999",295
"Jun 2, 1999",
"Jun 11, 1999",300
"Jun 18, 1999",
"Jun 27, 1999",
"Jul 4, 1999",
"Jul 5, 1999",
"Jul 12, 1999",
"Jul 13, 1999",299
"Jul 21, 1999",187
"Jul 28, 1999",319
"Jul 29, 1999",
"Aug 5, 1999",
"Aug 6, 1999",
"Aug 21, 1999",
"Aug 29, 1999",256
"Aug 30, 1999",
"Sep 6, 1999",
"Sep 23, 1999",106
"Oct 1, 1999",293
"Oct 8, 1999",271
"Oct 9, 1999",509
"Oct 16, 1999",
"Oct 17, 1999",
"Nov 1, 1999",141
"Nov 9, 1999",
"Nov 17, 1999",
"Nov 18, 1999",
"Dec 12, 1999",503
"Dec 19, 1999",838
"Dec 28, 1999",
"Jan 5, 2000",
"Jan 21, 2000",
"Jan 28, 2000",
"Jan 29, 2000","1,472"
"Feb 5, 2000",
"Feb 6, 2000",
"Feb 13, 2000",
"Feb 21, 2000",
"Feb 22, 2000","2,138"
"Feb 29, 2000","1,228"
"Mar 1, 2000",
"Mar 8, 2000",
"Mar 9, 2000",
"Mar 16, 2000",
"Mar 17, 2000",
"Mar 24, 2000",353
"Apr 1, 2000","1,082"
"Apr 10, 2000",
"Apr 25, 2000",323
"May 3, 2000",340
"May 4, 2000",370
"May 11, 2000",
"May 12, 2000",
"May 27, 2000",
"Jun 5, 2000",
"Jun 20, 2000",261
"Jun 21, 2000",
"Jun 28, 2000",341
"Jun 29, 2000",
"Jul 7, 2000",143
"Jul 14, 2000",
"Jul 23, 2000",162
"Jul 30, 2000",
"Aug 7, 2000",
"Aug 8, 2000",
"Aug 15, 2000",162
"Aug 16, 2000",125
"Aug 24, 2000",174
"Aug 31, 2000",
"Sep 1, 2000",
"Sep 8, 2000",
"Sep 9, 2000",
"Sep 16, 2000",
"Sep 17, 2000",
"Sep 25, 2000",169
"Oct 2, 2000",156
"Oct 3, 2000",
"Oct 19, 2000",
"Oct 26, 2000",155
"Oct 27, 2000",
"Nov 3, 2000",208
"Nov 19, 2000",
"Nov 28, 2000",
"Dec 6, 2000","1,075"
"Dec 13, 2000","1,095"
"Dec 21, 2000",
"Dec 22, 2000",
"Dec 29, 2000","1,358"
"Jan 7, 2001",
"Jan 22, 2001",
"Jan 23, 2001",
"Feb 7, 2001",
"Feb 8, 2001",
"Feb 16, 2001",
"Feb 23, 2001",
"Feb 24, 2001","1,351"
"Mar 3, 2001",
"Mar 4, 2001",
"Mar 11, 2001",
"Mar 12, 2001","1,828"
"Mar 19, 2001","1,194"
"Mar 20, 2001",
"Apr 4, 2001",
"Apr 5, 2001","1,656"
"Apr 13, 2001",
"Apr 20, 2001",871
"Apr 21, 2001",
"Apr 28, 2001",595
"May 6, 2001",361
"May 7, 2001",354
"May 14, 2001",
"May 15, 2001",327
"May 30, 2001",
"May 31, 2001",
"Jun 7, 2001",
"Jun 8, 2001",231
"Jun 15, 2001",583
"Jun 16, 2001",
"Jul 1, 2001",
"Jul 2, 2001",258
"Jul 9, 2001",239
"Jul 10, 2001",214
"Jul 17, 2001",
"Jul 18, 2001",249
"Jul 25, 2001",192
"Jul 26, 2001",173
"Aug 2, 2001",120
"Aug 3, 2001",
"Aug 10, 2001",
"Aug 11, 2001",186
"Aug 18, 2001",
"Aug 19, 2001",214
"Aug 26, 2001",257
"Aug 27, 2001",
"Sep 3, 2001",157
"Sep 12, 2001",130
"Sep 19, 2001",
"Oct 5, 2001",
"Oct 13, 2001",
"Oct 14, 2001",243
"Oct 21, 2001",
"Oct 22, 2001",
"Oct 29, 2001",657
"Oct 30, 2001",98
"Nov 6, 2001",
"Nov 7, 2001",
"Nov 15, 2001",
"Nov 22, 2001",
"Nov 23, 2001",
"Dec 1, 2001",
"Dec 8, 2001",
"Dec 9, 2001",
"Dec 16, 2001",515
"Dec 24, 2001",
"Dec 25, 2001",
"Jan 1, 2002",
"Jan 2, 2002",
"Jan 18, 2002",
"Jan 25, 2002",
"Jan 26, 2002",
"Feb 2, 2002",486
"Feb 3, 2002",
"Feb 10, 2002",
"Feb 11, 2002","1,912"
"Feb 18, 2002","1,262"
"Feb 19, 2002",
"Feb 26, 2002",318
"Mar 7, 2002",
"Mar 14, 2002",353
"Mar 23, 2002",
"Mar 30, 2002",
"Apr 15, 2002",
"Apr 24, 2002",559
"May 1, 2002",
"May 10, 2002",261
"May 17, 2002",
"Jun 2, 2002",
"Jun 10, 2002",261
"Jun 11, 2002",
"Jun 18, 2002",
"Jun 19, 2002",
"Jun 26, 2002",657
"Jun 27, 2002",
"Jul 4, 2002",186
"Jul 5, 2002",
"Jul 13, 2002",211
"Jul 20, 2002",132
"Jul 21, 2002",
"Jul 29, 2002",
"Aug 5, 2002",253
"Aug 6, 2002",
"Aug 14, 2002",263
"Aug 21, 2002",129
"Aug 30, 2002",115
"Sep 6, 2002",122
"Sep 7, 2002",145
"Sep 14, 2002",258
"Sep 22, 2002",
"Sep 23, 2002",
"Sep 30, 2002",243
"Oct 1, 2002",
"Oct 17, 2002",
"Oct 24, 2002",
"Oct 25, 2002",654
"Nov 2, 2002",
"Nov 9, 2002",385
"Nov 10, 2002",
"Nov 26, 2002",
"Dec 3, 2002","1,674"
"Dec 4, 2002","1,572"
"Dec 11, 2002",
"Dec 19, 2002",
"Jan 12, 2003",
"Jan 20, 2003",
"Jan 21, 2003","1,710"
"Feb 6, 2003",
"Feb 13, 2003",
"Feb 14, 2003",
"Feb 21, 2003","1,767"
"Mar 1, 2003",
"Mar 10, 2003",
"Mar 17, 2003",869
"Mar 18, 2003",515
"Mar 25, 2003",
"Apr 10, 2003","1,667"
"Apr 18, 2003",
"Apr 19, 2003",
"Apr 27, 2003",335
"May 4, 2003",363
"May 5, 2003",
"May 20, 2003",
"May 21, 2003","4,696"
"Jun 6, 2003",319
"Jun 29, 2003",
"Jul 8, 2003",
"Jul 15, 2003",106
"Jul 16, 2003",
"Jul 23, 2003",
"Jul 31, 2003",204
"Aug 8, 2003",
"Aug 9, 2003",
"Aug 16, 2003",
"Aug 17, 2003",180
"Aug 24, 2003",129
"Aug 25, 2003",340
"Sep 2, 2003",
"Sep 10, 2003",246
"Sep 17, 2003",
"Sep 18, 2003",380
"Sep 26, 2003",233
"Oct 3, 2003",643
"Oct 11, 2003",107
"Oct 12, 2003",203
"Oct 20, 2003",
"Oct 28, 2003",
"Nov 21, 2003",57
"Dec 31, 2003",
"Jan 7, 2004",
"Jan 8, 2004",
"Jan 15, 2004","1,567"
"Jan 16, 2004",
"Jan 23, 2004","2,284"
"Jan 24, 2004",
"Jan 31, 2004",
"Feb 1, 2004",
"Feb 8, 2004",
"Feb 9, 2004",
"Feb 16, 2004","1,534"
"Feb 17, 2004",
"Feb 25, 2004","1,100"
"Mar 3, 2004",
"Mar 11, 2004",675
"Mar 19, 2004",
"Mar 28, 2004",404
"Apr 5, 2004","4,135"
"Apr 12, 2004",
"Apr 20, 2004",260
"Apr 21, 2004","4,338"
"Apr 28, 2004",
"Apr 29, 2004",
"May 6, 2004",
"May 7, 2004",318
"May 14, 2004",421
"May 15, 2004",
"May 30, 2004",206
"May 31, 2004",
"Jun 7, 2004",386
"Jun 8, 2004",405
"Jun 15, 2004",
"Jun 16, 2004",210
"Jun 23, 2004",172
"Jun 24, 2004",286
"Jul 1, 2004",
"Jul 2, 2004",187
"Jul 10, 2004",
"Jul 17, 2004",
