system:time_start,SWIR2
"Mar 24, 1984",507
"May 7, 1984",560
"Jun 1, 1984",
"Jun 8, 1984",380
"Jun 17, 1984",
"Jul 3, 1984","5,537"
"Jul 10, 1984",641
"Jul 19, 1984",
"Aug 20, 1984",369
"Aug 27, 1984",
"Sep 5, 1984",
"Sep 21, 1984",
"Sep 28, 1984",401
"Oct 7, 1984",526
"Oct 14, 1984",500
"Nov 8, 1984",
"Nov 24, 1984",
"Dec 17, 1984",
"Dec 26, 1984",
"Jan 11, 1985",
"Jan 18, 1985",136
"Jan 27, 1985",714
"Feb 3, 1985",185
"Feb 28, 1985",
"Mar 23, 1985",
"Apr 17, 1985",
"Jun 4, 1985",
"Jun 20, 1985",
"Jul 13, 1985",591
"Jul 22, 1985",641
"Jul 29, 1985",544
"Aug 14, 1985",572
"Aug 23, 1985",
"Sep 8, 1985",
"Sep 15, 1985",498
"Oct 1, 1985",
"Oct 10, 1985",
"Oct 17, 1985",304
"Oct 26, 1985",328
"Nov 2, 1985",
"Jan 14, 1986",138
"Jan 30, 1986",124
"Feb 15, 1986",
"Feb 22, 1986",210
"Mar 3, 1986",404
"Apr 20, 1986",
"May 13, 1986",663
"Jun 14, 1986",
"Jun 30, 1986",552
"Jul 16, 1986",
"Jul 25, 1986",
"Aug 10, 1986",
"Aug 17, 1986",466
"Aug 26, 1986",471
"Sep 2, 1986",
"Sep 18, 1986",
"Sep 27, 1986",
"Oct 20, 1986",207
"Oct 29, 1986",224
"Nov 30, 1986",217
"Dec 23, 1986",
"Jan 1, 1987",
"Jan 8, 1987",242
"Jan 17, 1987",58
"Jan 24, 1987",
"Feb 18, 1987",
"Feb 25, 1987",
"Mar 6, 1987",507
"Mar 13, 1987",
"Mar 29, 1987",197
"Apr 14, 1987",
"Apr 23, 1987","2,697"
"May 9, 1987",
"May 16, 1987",659
"Jun 1, 1987",
"Jun 10, 1987",646
"Jun 17, 1987",576
"Jun 26, 1987",
"Jul 12, 1987",
"Jul 19, 1987",
"Jul 28, 1987",606
"Aug 4, 1987",520
"Aug 13, 1987",597
"Aug 20, 1987",
"Sep 5, 1987",
"Sep 14, 1987",
"Sep 21, 1987",
"Oct 16, 1987",414
"Oct 23, 1987",
"Nov 1, 1987",349
"Nov 17, 1987",
"Nov 24, 1987",
"Dec 3, 1987",
"Jan 27, 1988",124
"Feb 5, 1988",313
"Feb 21, 1988",
"Feb 28, 1988",357
"Mar 8, 1988",377
"Mar 24, 1988",
"Mar 31, 1988",269
"Apr 9, 1988",260
"May 2, 1988",
"May 27, 1988",
"Jun 12, 1988",697
"Jun 19, 1988",508
"Jun 28, 1988",688
"Jul 5, 1988",
"Jul 14, 1988",
"Jul 30, 1988",
"Aug 15, 1988",
"Aug 22, 1988",563
"Aug 31, 1988",
"Sep 7, 1988",
"Sep 16, 1988",413
"Oct 2, 1988",
"Oct 9, 1988",
"Nov 19, 1988",
"Nov 26, 1988",123
"Dec 5, 1988",219
