system:time_start,BLUE
"Mar 23, 1984","2,411"
"Apr 11, 1984",982
"Apr 20, 1984",
"May 6, 1984",710
"May 13, 1984",
"May 29, 1984",332
"Jun 14, 1984",229
"Jun 23, 1984",
"Jun 30, 1984",308
"Jul 9, 1984",
"Jul 16, 1984",209
"Aug 26, 1984",293
"Sep 11, 1984",203
"Sep 18, 1984",230
"Oct 4, 1984",899
"Oct 20, 1984",
"Oct 29, 1984",382
"Nov 21, 1984",441
"Dec 7, 1984",
"Dec 23, 1984",
"Jan 8, 1985",
"Jan 17, 1985",
"Mar 6, 1985",
"Mar 22, 1985",529
"Apr 14, 1985",
"Apr 30, 1985",
"Aug 13, 1985",
"Sep 14, 1985",
"Oct 7, 1985",717
"Oct 16, 1985",316
"Nov 8, 1985",475
"Nov 17, 1985",
"Jan 11, 1986",
"Jan 27, 1986","2,602"
"Feb 21, 1986","2,817"
"Mar 16, 1986",
"Apr 1, 1986",442
"Apr 10, 1986",500
"Apr 17, 1986",543
"Apr 26, 1986",
"May 3, 1986",329
"May 28, 1986",
"Jun 13, 1986",217
"Jun 29, 1986",209
"Jul 15, 1986",573
"Jul 22, 1986",204
"Jul 31, 1986",
"Aug 16, 1986",220
"Sep 1, 1986",229
"Sep 8, 1986",154
"Sep 24, 1986",643
"Oct 10, 1986",
"Oct 19, 1986",375
"Nov 4, 1986",308
"Nov 11, 1986","1,148"
"Nov 27, 1986","1,709"
"Dec 6, 1986",
"Dec 13, 1986","1,979"
"Jan 14, 1987","1,913"
"Jan 23, 1987",
"Feb 8, 1987","1,619"
"Feb 15, 1987",
"Mar 3, 1987","2,153"
"Mar 12, 1987",
"Mar 28, 1987",857
"Apr 4, 1987",
"Apr 20, 1987",
"Apr 29, 1987",408
"May 6, 1987",323
"May 15, 1987",238
"May 31, 1987",
"Jun 7, 1987",211
"Jun 16, 1987",191
"Jul 2, 1987",529
"Jul 18, 1987",506
"Jul 25, 1987",192
"Aug 3, 1987",
"Aug 10, 1987",
"Aug 19, 1987",190
"Sep 4, 1987",268
"Sep 11, 1987",
"Sep 27, 1987",296
"Oct 13, 1987",348
"Oct 22, 1987",
"Oct 29, 1987",
"Nov 14, 1987",
"Jan 1, 1988","2,212"
"Jan 26, 1988","2,594"
"Feb 2, 1988","2,225"
"Feb 11, 1988",
"Feb 18, 1988","2,757"
"Feb 27, 1988","2,233"
"Mar 5, 1988",
"Mar 21, 1988",
"Mar 30, 1988",606
"Apr 6, 1988",550
"Apr 15, 1988",559
"May 1, 1988",602
"May 8, 1988",353
"May 17, 1988",259
"Jun 2, 1988",875
"Jun 9, 1988",184
"Jun 18, 1988",
"Jun 25, 1988",241
"Jul 4, 1988",263
"Jul 11, 1988",197
"Jul 20, 1988",
"Jul 27, 1988",
"Aug 5, 1988",296
"Aug 12, 1988",245
"Aug 21, 1988",749
"Aug 28, 1988",181
"Sep 6, 1988",194
"Sep 13, 1988",195
"Sep 22, 1988",
"Sep 29, 1988",
"Oct 8, 1988",
"Oct 15, 1988",364
"Nov 25, 1988",820
"Dec 2, 1988","1,857"
"Dec 11, 1988","1,102"
"Dec 18, 1988","2,122"
"Jan 12, 1989","1,444"
"Jan 19, 1989","1,528"
"Jan 28, 1989",
"Feb 20, 1989",
"Mar 1, 1989",
"Mar 24, 1989",
"Apr 2, 1989",578
"Apr 9, 1989",
"Apr 25, 1989",
"May 11, 1989",536
"May 20, 1989",298
"May 27, 1989",191
"Jun 5, 1989",236
"Jun 21, 1989",353
"Jun 28, 1989",186
"Jul 7, 1989",268
"Jul 14, 1989",218
"Jul 23, 1989",503
"Sep 16, 1989",169
"Sep 25, 1989",250
"Oct 11, 1989",727
"Oct 18, 1989",
"Nov 12, 1989",
"Nov 19, 1989",
"Dec 5, 1989",
"Dec 14, 1989",
"Dec 21, 1989","1,539"
"Jan 15, 1990","1,161"
