system:time_start,NIR
"Mar 23, 1984","3,188"
"Apr 11, 1984","2,279"
"Apr 20, 1984",
"May 6, 1984","2,236"
"May 13, 1984",
"May 29, 1984","3,294"
"Jun 14, 1984","4,697"
"Jun 23, 1984",
"Jun 30, 1984","5,005"
"Jul 9, 1984",
"Jul 16, 1984","4,109"
"Aug 26, 1984","3,695"
"Sep 11, 1984","3,385"
"Sep 18, 1984","2,977"
"Oct 4, 1984","3,337"
"Oct 20, 1984",
"Oct 29, 1984","1,085"
"Nov 21, 1984","1,199"
"Dec 7, 1984",
"Dec 23, 1984",
"Jan 8, 1985",
"Jan 17, 1985",
"Mar 6, 1985",
"Mar 22, 1985","1,697"
"Apr 14, 1985",
"Apr 30, 1985",
"Aug 13, 1985",
"Sep 14, 1985",
"Oct 7, 1985","3,147"
"Oct 16, 1985","1,849"
"Nov 8, 1985","1,514"
"Nov 17, 1985",
"Jan 11, 1986",
"Jan 27, 1986","2,892"
"Feb 21, 1986","2,985"
"Mar 16, 1986",
"Apr 1, 1986","1,769"
"Apr 10, 1986","1,729"
"Apr 17, 1986","1,854"
"Apr 26, 1986",
"May 3, 1986","2,208"
"May 28, 1986",
"Jun 13, 1986","4,968"
"Jun 29, 1986","3,312"
"Jul 15, 1986","4,924"
"Jul 22, 1986","4,206"
"Jul 31, 1986",
"Aug 16, 1986","3,885"
"Sep 1, 1986","3,586"
"Sep 8, 1986","3,270"
"Sep 24, 1986","3,394"
"Oct 10, 1986",
"Oct 19, 1986","2,007"
"Nov 4, 1986","1,286"
"Nov 11, 1986","1,953"
"Nov 27, 1986","2,093"
"Dec 6, 1986",
"Dec 13, 1986","2,137"
"Jan 14, 1987","2,162"
"Jan 23, 1987",
"Feb 8, 1987","1,921"
"Feb 15, 1987",
"Mar 3, 1987","2,738"
"Mar 12, 1987",
"Mar 28, 1987","1,973"
"Apr 4, 1987",
"Apr 20, 1987",
"Apr 29, 1987","3,141"
"May 6, 1987","4,012"
"May 15, 1987","4,727"
"May 31, 1987",
"Jun 7, 1987","4,586"
"Jun 16, 1987","4,516"
"Jul 2, 1987","5,041"
"Jul 18, 1987","5,352"
"Jul 25, 1987","3,115"
