system:time_start,RED
"Mar 23, 1984","3,118"
"Apr 11, 1984","1,432"
"Apr 20, 1984","1,375"
"May 6, 1984","1,162"
"May 13, 1984",
"May 29, 1984",604
"Jun 14, 1984",275
"Jun 23, 1984",
"Jun 30, 1984",
"Jul 9, 1984",
"Jul 16, 1984",274
"Aug 26, 1984",316
"Sep 11, 1984",300
"Oct 4, 1984",
"Oct 20, 1984",
"Oct 29, 1984",485
"Nov 21, 1984",700
"Dec 7, 1984",
"Dec 23, 1984",
"Jan 8, 1985","1,431"
"Jan 17, 1985",
"Mar 6, 1985",
"Mar 22, 1985",963
"Apr 14, 1985",
"Apr 30, 1985",
"Aug 13, 1985",
"Sep 14, 1985",
"Oct 7, 1985",836
"Oct 16, 1985",985
"Nov 8, 1985","1,035"
"Nov 17, 1985",
"Jan 11, 1986",
"Jan 27, 1986","2,267"
"Feb 21, 1986","2,592"
"Mar 16, 1986",
"Apr 1, 1986",842
"Apr 10, 1986",915
"Apr 17, 1986",912
"Apr 26, 1986",
"May 28, 1986",
"Jun 13, 1986",307
"Jun 29, 1986",206
"Jul 15, 1986",656
"Jul 22, 1986",269
"Jul 31, 1986",
"Aug 16, 1986",259
"Sep 1, 1986",333
"Sep 8, 1986",282
"Sep 24, 1986",689
"Oct 10, 1986",
"Oct 19, 1986",813
"Nov 4, 1986",701
"Nov 27, 1986","1,811"
"Dec 6, 1986",
"Dec 13, 1986","1,962"
"Jan 14, 1987","1,982"
"Jan 23, 1987",
"Feb 8, 1987","2,168"
"Feb 15, 1987",
"Mar 3, 1987","2,631"
"Mar 12, 1987",
"Mar 28, 1987","1,037"
"Apr 4, 1987",
"Apr 20, 1987",
"Apr 29, 1987",777
"May 6, 1987",575
"May 15, 1987",271
"May 31, 1987",
"Jun 7, 1987",247
"Jun 16, 1987",269
"Jul 2, 1987",340
"Jul 18, 1987",379
"Jul 25, 1987",232
"Aug 3, 1987",
"Aug 10, 1987",
"Aug 19, 1987",241
"Sep 4, 1987",299
"Sep 11, 1987",
"Sep 27, 1987",441
"Oct 13, 1987",708
"Oct 22, 1987",
"Oct 29, 1987",
"Nov 14, 1987",
"Jan 1, 1988","1,959"
"Jan 26, 1988","2,564"
"Feb 2, 1988","2,340"
"Feb 11, 1988",
"Feb 18, 1988","2,744"
"Feb 27, 1988","2,497"
"Mar 5, 1988",
"Mar 21, 1988",
"Mar 30, 1988",905
"Apr 6, 1988",899
"Apr 15, 1988",905
"May 1, 1988",888
"May 8, 1988",807
"May 17, 1988",382
"Jun 2, 1988",
"Jun 9, 1988",231
"Jun 18, 1988",
"Jun 25, 1988",302
"Jul 4, 1988",256
"Jul 11, 1988",321
"Jul 20, 1988",
"Jul 27, 1988",
"Aug 5, 1988",310
"Aug 12, 1988",311
"Aug 21, 1988",418
"Aug 28, 1988",287
"Sep 6, 1988",249
"Sep 13, 1988",317
"Sep 22, 1988",
"Sep 29, 1988",
"Oct 8, 1988",524
"Oct 15, 1988",887
"Nov 25, 1988","1,016"
"Dec 2, 1988","1,469"
"Dec 11, 1988",
"Dec 18, 1988","2,120"
"Jan 12, 1989",
"Jan 19, 1989","1,557"
"Jan 28, 1989",
"Feb 20, 1989",
