system:time_start,SWIR2
"Mar 23, 1984",633
"Apr 11, 1984","2,134"
"Apr 20, 1984","2,287"
"May 6, 1984","2,141"
"May 13, 1984",
"May 29, 1984",810
"Jun 14, 1984",616
"Jun 23, 1984",
"Jun 30, 1984",
"Jul 9, 1984",
"Jul 16, 1984",624
"Aug 26, 1984",598
"Sep 11, 1984",615
"Oct 4, 1984",
"Oct 20, 1984",
"Oct 29, 1984",684
"Nov 21, 1984","1,284"
"Dec 7, 1984",
"Dec 23, 1984",
"Jan 8, 1985",310
"Jan 17, 1985",
"Mar 6, 1985",
"Mar 22, 1985","2,060"
"Apr 14, 1985",
"Apr 30, 1985",
"Aug 13, 1985",
"Sep 14, 1985",
"Oct 7, 1985",941
"Oct 16, 1985","1,087"
"Nov 8, 1985","1,667"
"Nov 17, 1985",
"Jan 11, 1986",
"Jan 27, 1986",867
"Feb 21, 1986",325
"Mar 16, 1986",
"Apr 1, 1986","1,738"
"Apr 10, 1986","2,109"
"Apr 17, 1986","1,941"
"Apr 26, 1986",
"May 28, 1986",
"Jun 13, 1986",695
"Jun 29, 1986",345
"Jul 15, 1986",834
"Jul 22, 1986",615
"Jul 31, 1986",
"Aug 16, 1986",660
"Sep 1, 1986",657
"Sep 8, 1986",606
"Sep 24, 1986",809
"Oct 10, 1986",
"Oct 19, 1986","1,205"
"Nov 4, 1986","1,425"
"Nov 27, 1986",610
"Dec 6, 1986",
"Dec 13, 1986",765
"Jan 14, 1987",592
"Jan 23, 1987",
"Feb 8, 1987",723
"Feb 15, 1987",
"Mar 3, 1987",720
"Mar 12, 1987",
"Mar 28, 1987","1,667"
"Apr 4, 1987",
"Apr 20, 1987",
"Apr 29, 1987","1,506"
"May 6, 1987","1,077"
"May 15, 1987",623
"May 31, 1987",
"Jun 7, 1987",591
"Jun 16, 1987",726
"Jul 2, 1987",679
"Jul 18, 1987",830
"Jul 25, 1987",476
"Aug 3, 1987",
"Aug 10, 1987",
"Aug 19, 1987",643
"Sep 4, 1987",649
"Sep 11, 1987",
"Sep 27, 1987",647
"Oct 13, 1987","1,008"
"Oct 22, 1987",
"Oct 29, 1987",
"Nov 14, 1987",
"Jan 1, 1988",661
"Jan 26, 1988",646
"Feb 2, 1988",887
"Feb 11, 1988",
"Feb 18, 1988",693
"Feb 27, 1988",630
"Mar 5, 1988",
"Mar 21, 1988",
"Mar 30, 1988","1,916"
"Apr 6, 1988","1,802"
"Apr 15, 1988","2,105"
"May 1, 1988","2,166"
"May 8, 1988","1,433"
"May 17, 1988",852
"Jun 2, 1988",
"Jun 9, 1988",623
"Jun 18, 1988",
"Jun 25, 1988",595
"Jul 4, 1988",661
"Jul 11, 1988",626
"Jul 20, 1988",
"Jul 27, 1988",
"Aug 5, 1988",603
"Aug 12, 1988",571
"Aug 21, 1988",643
"Aug 28, 1988",568
"Sep 6, 1988",640
"Sep 13, 1988",672
"Sep 22, 1988",
"Sep 29, 1988",
"Oct 8, 1988",583
"Oct 15, 1988",678
"Nov 25, 1988","1,740"
"Dec 2, 1988",537
"Dec 11, 1988",
"Dec 18, 1988","1,038"
"Jan 12, 1989",
"Jan 19, 1989",538
"Jan 28, 1989",
"Feb 20, 1989",
"Mar 1, 1989",
"Mar 24, 1989",
"Apr 2, 1989","1,710"
"Apr 9, 1989",
"Apr 25, 1989",
"May 11, 1989","1,884"
"May 20, 1989","1,294"
"May 27, 1989",704
"Jun 5, 1989",687
"Jun 21, 1989",701
"Jun 28, 1989",549
"Jul 7, 1989",643
"Jul 14, 1989",559
"Jul 23, 1989",751
"Sep 16, 1989",546
"Sep 25, 1989",763
"Oct 11, 1989",916
"Oct 18, 1989",
"Nov 12, 1989",
"Nov 19, 1989",
"Dec 5, 1989","1,108"
"Dec 14, 1989",752
"Dec 21, 1989",853
"Jan 15, 1990",756
"Apr 21, 1990","2,047"
"May 7, 1990","1,848"
"May 30, 1990",739
"Jul 1, 1990",589
"Jul 26, 1990",
"Aug 2, 1990",587
"Aug 11, 1990",
"Aug 18, 1990",
"Aug 27, 1990",
"Sep 12, 1990",611
"Sep 28, 1990",
"Oct 5, 1990",
"Oct 14, 1990",
"Oct 21, 1990",
"Oct 30, 1990","1,173"
"Nov 15, 1990","1,501"
"Dec 8, 1990",859
"Dec 24, 1990",244
"Jan 25, 1991",912
"Feb 10, 1991",
"Feb 26, 1991",
"Mar 7, 1991",
"Mar 14, 1991",790
"Mar 30, 1991","1,486"
"Apr 15, 1991","1,777"
"Apr 24, 1991","1,992"
"May 26, 1991",
"Jun 11, 1991",
"Jun 18, 1991",997
"Jun 27, 1991",604
"Jul 20, 1991",
"Aug 5, 1991",629
"Aug 14, 1991",332
"Aug 21, 1991",632
"Aug 30, 1991",
"Sep 6, 1991",577
"Oct 8, 1991",
"Oct 17, 1991","1,281"
"Nov 18, 1991",
"Nov 25, 1991",577
"Dec 4, 1991",707
"Dec 11, 1991",929
"Jan 21, 1992",882
"Feb 22, 1992",
"Mar 25, 1992",946
"May 3, 1992","2,292"
"May 19, 1992",793
"Jun 4, 1992",
"Jun 13, 1992",669
"Jun 20, 1992",506
"Jun 29, 1992",
"Jul 6, 1992",667
"Jul 15, 1992",641
"Jul 31, 1992",590
"Aug 16, 1992",606
"Aug 23, 1992",609
"Sep 1, 1992",603
"Sep 8, 1992",559
"Sep 24, 1992",576
"Oct 3, 1992",681
"Oct 19, 1992","1,341"
"Oct 26, 1992","1,435"
"Nov 11, 1992",
"Nov 27, 1992",
"Dec 22, 1992",711
"Jan 30, 1993",949
"Feb 15, 1993",849
"Feb 24, 1993",925
"Mar 12, 1993",938
"Mar 28, 1993",619
"Apr 4, 1993",631
"Apr 13, 1993",
"Apr 20, 1993",
"Apr 29, 1993","1,663"
"May 6, 1993","1,937"
"May 15, 1993","1,127"
"May 22, 1993","1,000"
"May 31, 1993",649
"Jun 23, 1993",597
"Jul 9, 1993",
"Aug 3, 1993",
"Aug 10, 1993",608
"Sep 4, 1993",569
"Sep 27, 1993",
"Oct 6, 1993",755
"Oct 13, 1993",968
"Oct 22, 1993","1,333"
"Nov 7, 1993",823
"Nov 23, 1993",
"Dec 9, 1993",
"Dec 25, 1993",
"Jan 17, 1994","1,048"
"Jan 26, 1994",992
"Feb 2, 1994",
"Feb 11, 1994","1,284"
"Feb 27, 1994",
"Mar 6, 1994",
"Mar 15, 1994",936
"Mar 22, 1994","1,563"
"Mar 31, 1994","1,913"
"Apr 7, 1994","1,594"
"Apr 16, 1994","1,951"
"Apr 23, 1994","1,906"
