system:time_start,BLUE
"Apr 12, 1984",605
"May 14, 1984",
"Jun 6, 1984",
"Jun 15, 1984",278
"Jun 22, 1984",
"Jul 8, 1984",
"Aug 18, 1984",
"Aug 25, 1984",
"Sep 3, 1984",
"Sep 19, 1984",271
"Oct 5, 1984",
"Oct 12, 1984",321
"Oct 21, 1984",
"Nov 6, 1984",
"Nov 22, 1984",
"Dec 24, 1984",407
"Jan 9, 1985",
"Jan 16, 1985","2,220"
"Jan 25, 1985",
"Mar 5, 1985",497
"Mar 14, 1985","3,714"
"Mar 21, 1985",
"Apr 22, 1985",
"May 1, 1985",
"May 24, 1985",278
"Jul 27, 1985",208
"Aug 5, 1985",
"Aug 12, 1985",203
"Aug 28, 1985",
"Sep 6, 1985",
"Sep 13, 1985",272
"Oct 8, 1985",309
"Oct 31, 1985",
"Nov 9, 1985",385
"Jan 3, 1986","1,926"
"Jan 12, 1986","1,498"
"Feb 13, 1986",
"Mar 1, 1986",
"Mar 8, 1986","2,797"
"Mar 17, 1986",
"Mar 24, 1986",502
"Apr 18, 1986",511
"May 4, 1986",608
"May 11, 1986",413
"May 20, 1986",
"Jun 5, 1986",
"Jun 21, 1986",
"Jul 7, 1986",491
"Jul 14, 1986",
"Aug 15, 1986",448
"Aug 24, 1986",282
"Aug 31, 1986",280
"Sep 9, 1986",307
"Sep 16, 1986",209
"Sep 25, 1986",
"Oct 11, 1986",
"Oct 18, 1986",
"Oct 27, 1986",
"Nov 3, 1986",
"Nov 28, 1986",
"Dec 14, 1986",
"Dec 21, 1986",
"Dec 30, 1986",
"Jan 6, 1987","1,916"
"Feb 7, 1987","1,160"
"Feb 16, 1987",
"Mar 11, 1987",
"Mar 20, 1987",477
"Mar 27, 1987",
"Apr 21, 1987",
"May 7, 1987",514
"May 14, 1987",416
"May 23, 1987",
"May 30, 1987",
"Jun 8, 1987",
"Jun 24, 1987",
"Jul 10, 1987",
"Jul 17, 1987",250
"Jul 26, 1987",
"Aug 2, 1987",
"Aug 18, 1987",258
"Aug 27, 1987",
"Sep 3, 1987",348
"Oct 5, 1987",240
"Oct 14, 1987",320
"Oct 21, 1987",494
"Oct 30, 1987",472
"Nov 15, 1987",966
"Nov 22, 1987","1,838"
"Dec 8, 1987",
"Dec 24, 1987",634
"Jan 2, 1988",504
"Jan 9, 1988","2,333"
"Jan 18, 1988",
"Feb 10, 1988",
"Feb 26, 1988",
"Mar 6, 1988",555
"Mar 22, 1988",
"May 9, 1988",
"May 16, 1988",755
"Jun 10, 1988",
"Jun 17, 1988",
"Jun 26, 1988",357
"Jul 3, 1988",270
"Jul 28, 1988",375
"Aug 13, 1988","1,650"
"Aug 20, 1988",
"Sep 14, 1988",231
"Sep 30, 1988",617
"Oct 7, 1988",
"Oct 16, 1988",356
"Oct 23, 1988",384
"Nov 17, 1988",394
"Nov 24, 1988",430
"Dec 3, 1988",447
"Dec 10, 1988",811
"Dec 19, 1988","1,735"
"Dec 26, 1988",449
"Jan 4, 1989",
"Jan 11, 1989","1,597"
"Jan 20, 1989",
"Jan 27, 1989",443
"Feb 28, 1989",
"Mar 9, 1989",
"Mar 16, 1989",487
"Mar 25, 1989","1,089"
"Apr 17, 1989",
"Apr 26, 1989",
"May 19, 1989",533
"May 28, 1989",323
"Jun 13, 1989",
"Jun 29, 1989",245
"Jul 22, 1989",302
"Aug 16, 1989",
"Aug 23, 1989",
"Sep 1, 1989",
"Sep 17, 1989",
"Sep 24, 1989",222
"Oct 3, 1989",584
"Oct 10, 1989",
"Oct 26, 1989",377
"Nov 11, 1989",
"Nov 20, 1989",400
"Dec 13, 1989",
"Dec 22, 1989",
"Dec 29, 1989",
"Jan 7, 1990","1,255"
"Jan 14, 1990",
"Apr 13, 1990",
"May 15, 1990",
"May 22, 1990",
"Jun 7, 1990",
"Jun 16, 1990",322
"Jun 23, 1990",364
"Jul 2, 1990",
"Jul 9, 1990",590
"Jul 25, 1990",632
"Aug 3, 1990",359
"Aug 10, 1990",
"Aug 19, 1990",
"Aug 26, 1990",686
"Sep 4, 1990",
"Sep 11, 1990",249
"Sep 20, 1990",
"Oct 6, 1990",239
"Oct 29, 1990",305
"Nov 7, 1990",327
"Nov 14, 1990",352
"Nov 23, 1990",
"Dec 9, 1990",406
"Dec 25, 1990",
"Jan 1, 1991",924
"Jan 10, 1991",
"Jan 26, 1991",
"Feb 2, 1991",
"Feb 11, 1991",354
"Feb 27, 1991",
"Mar 31, 1991",
"Apr 7, 1991",504
"Apr 23, 1991",
"May 2, 1991",
"May 18, 1991",
"Jul 21, 1991",
