system:time_start,GREEN
"Apr 12, 1984",813
"May 14, 1984",
"Jun 6, 1984",
"Jun 15, 1984",434
"Jun 22, 1984",
"Jul 8, 1984",
"Aug 18, 1984",
"Aug 25, 1984",
"Sep 3, 1984",
"Sep 19, 1984",413
"Oct 5, 1984",
"Oct 12, 1984",680
"Oct 21, 1984",
"Nov 6, 1984",
"Nov 22, 1984",
"Dec 24, 1984",574
"Jan 9, 1985",
"Jan 16, 1985","2,203"
"Jan 25, 1985",
"Mar 5, 1985",664
"Mar 14, 1985","7,106"
"Mar 21, 1985",
"Apr 22, 1985",
"May 1, 1985",
"May 24, 1985",553
"Jul 27, 1985",395
"Aug 5, 1985",
"Aug 12, 1985",351
"Aug 28, 1985",
"Sep 6, 1985",
"Sep 13, 1985",430
"Oct 8, 1985",524
"Oct 31, 1985",
"Nov 9, 1985",508
"Jan 3, 1986","1,921"
"Jan 12, 1986","1,648"
"Feb 13, 1986",
"Mar 1, 1986",
"Mar 8, 1986","2,956"
"Mar 17, 1986",
"Mar 24, 1986",678
"Apr 18, 1986",715
"May 4, 1986",774
"May 11, 1986",638
"May 20, 1986",
"Jun 5, 1986",
"Jun 21, 1986",
"Jul 7, 1986",635
"Jul 14, 1986",
"Aug 15, 1986",644
"Aug 24, 1986",447
"Aug 31, 1986",490
"Sep 9, 1986",487
"Sep 16, 1986",463
"Sep 25, 1986",
"Oct 11, 1986",
"Oct 18, 1986",
"Oct 27, 1986",
"Nov 3, 1986",
"Nov 28, 1986",
"Dec 14, 1986",
"Dec 21, 1986",
"Dec 30, 1986",
"Jan 6, 1987","2,097"
"Feb 7, 1987","1,007"
"Feb 16, 1987",
"Mar 11, 1987",
"Mar 20, 1987",661
"Mar 27, 1987",
"Apr 21, 1987",
"May 7, 1987",717
"May 14, 1987",697
"May 23, 1987",
"May 30, 1987",
"Jun 8, 1987",
"Jun 24, 1987",
"Jul 10, 1987",
"Jul 17, 1987",391
"Jul 26, 1987",
"Aug 2, 1987",
"Aug 18, 1987",450
"Aug 27, 1987",
"Sep 3, 1987",516
"Oct 5, 1987",450
"Oct 14, 1987",598
"Oct 21, 1987",829
"Oct 30, 1987",620
"Nov 15, 1987","1,057"
"Nov 22, 1987","1,901"
"Dec 8, 1987",
"Dec 24, 1987",688
"Jan 2, 1988",568
"Jan 9, 1988","2,385"
"Jan 18, 1988",
"Feb 10, 1988",
"Feb 26, 1988",
"Mar 6, 1988",684
"Mar 22, 1988",
"May 9, 1988",
"May 16, 1988",919
"Jun 10, 1988",
"Jun 17, 1988",
"Jun 26, 1988",616
"Jul 3, 1988",408
"Jul 28, 1988",557
"Aug 13, 1988","1,383"
"Aug 20, 1988",
"Sep 14, 1988",366
"Sep 30, 1988",772
"Oct 7, 1988",
"Oct 16, 1988",526
"Oct 23, 1988",628
"Nov 17, 1988",523
"Nov 24, 1988",576
"Dec 3, 1988",593
"Dec 10, 1988",900
"Dec 19, 1988","1,674"
"Dec 26, 1988",468
"Jan 4, 1989",
"Jan 11, 1989","1,797"
"Jan 20, 1989",
"Jan 27, 1989",600
"Feb 28, 1989",
"Mar 9, 1989",
"Mar 16, 1989",683
"Mar 25, 1989","1,053"
"Apr 17, 1989",
"Apr 26, 1989",
"May 19, 1989",688
"May 28, 1989",621
"Jun 13, 1989",
"Jun 29, 1989",432
"Jul 22, 1989",444
"Aug 16, 1989",
"Aug 23, 1989",
"Sep 1, 1989",
"Sep 17, 1989",
"Sep 24, 1989",344
"Oct 3, 1989",360
"Oct 10, 1989",
"Oct 26, 1989",514
"Nov 11, 1989",
"Nov 20, 1989",520
"Dec 13, 1989",
"Dec 22, 1989",
"Dec 29, 1989",
"Jan 7, 1990","1,336"
"Jan 14, 1990",
"Apr 13, 1990",
"May 15, 1990",
"May 22, 1990",
"Jun 7, 1990",
"Jun 16, 1990",499
"Jun 23, 1990",548
"Jul 2, 1990",
"Jul 9, 1990",704
"Jul 25, 1990",681
"Aug 3, 1990",423
"Aug 10, 1990",
"Aug 19, 1990",
"Aug 26, 1990",729
"Sep 4, 1990",
"Sep 11, 1990",333
"Sep 20, 1990",
"Oct 6, 1990",491
"Oct 29, 1990",414
"Nov 7, 1990",507
"Nov 14, 1990",528
"Nov 23, 1990",
"Dec 9, 1990",437
"Dec 25, 1990",
"Jan 1, 1991","1,002"
"Jan 10, 1991",
"Jan 26, 1991",
"Feb 2, 1991",
"Feb 11, 1991",321
"Feb 27, 1991",
"Mar 31, 1991",
"Apr 7, 1991",625
"Apr 23, 1991",
"May 2, 1991",
"May 18, 1991",
"Jul 21, 1991",
"Jul 28, 1991",
"Aug 6, 1991",
"Aug 13, 1991",716
"Aug 22, 1991",428
"Aug 29, 1991",690
"Sep 7, 1991",456
"Sep 30, 1991",600
"Oct 9, 1991",586
"Oct 16, 1991",
"Oct 25, 1991",654
"Nov 1, 1991",699
"Nov 17, 1991",537
"Nov 26, 1991",
"Dec 12, 1991",
"Dec 19, 1991","1,620"
"Dec 19, 1991",
"Jan 4, 1992",
"Jan 29, 1992",
"Feb 5, 1992","1,694"
"Feb 5, 1992","1,613"
"Feb 21, 1992",
"Mar 1, 1992",636
"Mar 17, 1992",
"Apr 2, 1992",
"May 4, 1992",
"May 11, 1992",675
"May 20, 1992",707
"May 27, 1992",
"Jun 12, 1992",491
"Jun 28, 1992",480
"Jul 14, 1992",693
"Aug 24, 1992",427
"Aug 31, 1992",
"Sep 9, 1992",
"Sep 16, 1992",468
"Oct 2, 1992",425
"Oct 11, 1992",
"Oct 27, 1992",
"Nov 3, 1992",498
"Nov 12, 1992",
"Nov 28, 1992",
"Dec 21, 1992",
"Dec 30, 1992",
"Jan 31, 1993",
"Feb 7, 1993",
"Apr 28, 1993",
"May 7, 1993",717
"May 14, 1993",621
"May 23, 1993",
"May 30, 1993",499
"Jun 8, 1993",
"Jun 24, 1993",387
"Jul 10, 1993",
"Jul 17, 1993",414
"Jul 17, 1993",411
"Aug 11, 1993",660
"Aug 18, 1993",
"Aug 27, 1993",430
"Sep 19, 1993",
"Sep 28, 1993",356
"Oct 5, 1993",390
"Oct 5, 1993",377
"Nov 15, 1993",
"Nov 22, 1993",476
"Dec 1, 1993",545
"Dec 8, 1993",536
"Dec 17, 1993",
"Jan 9, 1994","2,389"
"Jan 18, 1994",
"Feb 3, 1994",
"Feb 10, 1994",
"Feb 19, 1994","2,644"
"Mar 7, 1994","3,042"
"Mar 14, 1994","2,895"
"Mar 14, 1994","2,760"
"Mar 23, 1994",
"Apr 8, 1994",718
"Apr 15, 1994",667
"Apr 15, 1994",
"Apr 24, 1994",719
"May 10, 1994",591
"Jun 2, 1994",778
"Jun 18, 1994",578
"Jul 4, 1994",
"Jul 13, 1994",709
"Jul 20, 1994","1,231"
"Jul 20, 1994","1,273"
"Aug 14, 1994",
"Aug 30, 1994",
"Sep 6, 1994",
"Sep 15, 1994",
"Sep 22, 1994",
"Oct 1, 1994",
"Oct 8, 1994",565
"Oct 8, 1994",548
"Oct 17, 1994",594
"Oct 24, 1994",505
"Oct 24, 1994",
"Nov 2, 1994",417
"Nov 25, 1994",
"Dec 20, 1994",514
"Dec 27, 1994",665
"Jan 5, 1995",
"Jan 28, 1995",
"Feb 6, 1995",
"Feb 13, 1995",
"Feb 13, 1995",
"Feb 22, 1995",
"Mar 10, 1995",
"Mar 17, 1995",601
"Mar 17, 1995",
"Mar 26, 1995",
