system:time_start,NIR
"Apr 12, 1984","2,201"
"May 14, 1984",
"Jun 6, 1984",
"Jun 15, 1984","5,669"
"Jun 22, 1984",
"Jul 8, 1984",
"Aug 18, 1984",
"Aug 25, 1984",
"Sep 3, 1984",
"Sep 19, 1984","3,779"
"Oct 5, 1984",
"Oct 12, 1984","3,069"
"Oct 21, 1984",
"Nov 6, 1984",
"Nov 22, 1984",
"Dec 24, 1984","1,459"
"Jan 9, 1985",
"Jan 16, 1985","3,043"
"Jan 25, 1985",
"Mar 5, 1985","1,840"
"Mar 14, 1985","7,527"
"Mar 21, 1985",
"Apr 22, 1985",
"May 1, 1985",
"May 24, 1985","4,340"
"Jul 27, 1985","4,740"
"Aug 5, 1985",
"Aug 12, 1985","4,470"
"Aug 28, 1985",
"Sep 6, 1985",
"Sep 13, 1985","4,197"
"Oct 8, 1985","3,294"
"Oct 31, 1985",
"Nov 9, 1985","1,707"
"Jan 3, 1986","2,648"
"Jan 12, 1986","2,380"
"Feb 13, 1986",
"Mar 1, 1986",
"Mar 8, 1986","3,800"
"Mar 17, 1986",
"Mar 24, 1986","1,757"
"Apr 18, 1986","2,093"
"May 4, 1986","2,115"
"May 11, 1986","2,074"
"May 20, 1986",
"Jun 5, 1986",
"Jun 21, 1986",
"Jul 7, 1986","5,246"
"Jul 14, 1986",
"Aug 15, 1986","4,059"
"Aug 24, 1986","4,135"
"Aug 31, 1986","3,685"
"Sep 9, 1986","3,764"
"Sep 16, 1986","3,555"
"Sep 25, 1986",
"Oct 11, 1986",
"Oct 18, 1986",
"Oct 27, 1986",
"Nov 3, 1986",
"Nov 28, 1986",
"Dec 14, 1986",
"Dec 21, 1986",
"Dec 30, 1986",
"Jan 6, 1987","2,796"
"Feb 7, 1987",969
"Feb 16, 1987",
"Mar 11, 1987",
"Mar 20, 1987","1,824"
"Mar 27, 1987",
"Apr 21, 1987",
"May 7, 1987","2,118"
"May 14, 1987","3,050"
"May 23, 1987",
"May 30, 1987",
"Jun 8, 1987",
"Jun 24, 1987",
"Jul 10, 1987",
"Jul 17, 1987","2,962"
"Jul 26, 1987",
"Aug 2, 1987",
"Aug 18, 1987","3,832"
"Aug 27, 1987",
"Sep 3, 1987","3,689"
"Oct 5, 1987","2,978"
"Oct 14, 1987","2,640"
"Oct 21, 1987","2,655"
"Oct 30, 1987","1,950"
"Nov 15, 1987","1,979"
