system:time_start,RED
"Apr 12, 1984","1,052"
"May 14, 1984",
"Jun 6, 1984",
"Jun 15, 1984",268
"Jun 22, 1984",
"Jul 8, 1984",
"Aug 18, 1984",
"Aug 25, 1984",
"Sep 3, 1984",
"Sep 19, 1984",282
"Oct 5, 1984",
"Oct 12, 1984",732
"Oct 21, 1984",
"Nov 6, 1984",
"Nov 22, 1984",
"Dec 24, 1984",663
"Jan 9, 1985",
"Jan 16, 1985","2,304"
"Jan 25, 1985",
"Mar 5, 1985",874
"Mar 14, 1985","6,988"
"Mar 21, 1985",
"Apr 22, 1985",
"May 1, 1985",
"May 24, 1985",295
"Jul 27, 1985",238
"Aug 5, 1985",
"Aug 12, 1985",222
"Aug 28, 1985",
"Sep 6, 1985",
"Sep 13, 1985",334
"Oct 8, 1985",514
"Oct 31, 1985",
"Nov 9, 1985",635
"Jan 3, 1986","1,784"
"Jan 12, 1986","1,639"
"Feb 13, 1986",
"Mar 1, 1986",
"Mar 8, 1986","3,057"
"Mar 17, 1986",
"Mar 24, 1986",859
"Apr 18, 1986",996
"May 4, 1986",955
"May 11, 1986",768
"May 20, 1986",
"Jun 5, 1986",
"Jun 21, 1986",
"Jul 7, 1986",383
"Jul 14, 1986",
"Aug 15, 1986",432
"Aug 24, 1986",330
"Aug 31, 1986",361
"Sep 9, 1986",355
"Sep 16, 1986",360
"Sep 25, 1986",
"Oct 11, 1986",
"Oct 18, 1986",
"Oct 27, 1986",
"Nov 3, 1986",
"Nov 28, 1986",
"Dec 14, 1986",
"Dec 21, 1986",
"Dec 30, 1986",
"Jan 6, 1987","2,106"
"Feb 7, 1987",899
"Feb 16, 1987",
"Mar 11, 1987",
"Mar 20, 1987",811
"Mar 27, 1987",
"Apr 21, 1987",
"May 7, 1987",781
"May 14, 1987",530
"May 23, 1987",
"May 30, 1987",
"Jun 8, 1987",
"Jun 24, 1987",
"Jul 10, 1987",
"Jul 17, 1987",200
"Jul 26, 1987",
"Aug 2, 1987",
"Aug 18, 1987",305
"Aug 27, 1987",
"Sep 3, 1987",381
"Oct 5, 1987",408
"Oct 14, 1987",615
"Oct 21, 1987","1,001"
"Oct 30, 1987",780
"Nov 15, 1987","1,171"
"Nov 22, 1987","2,026"
"Dec 8, 1987",
"Dec 24, 1987",836
"Jan 2, 1988",597
"Jan 9, 1988","2,394"
"Jan 18, 1988",
"Feb 10, 1988",
"Feb 26, 1988",
"Mar 6, 1988",903
"Mar 22, 1988",
"May 9, 1988",
"May 16, 1988",883
"Jun 10, 1988",
"Jun 17, 1988",
"Jun 26, 1988",403
"Jul 3, 1988",250
"Jul 28, 1988",371
"Aug 13, 1988",929
"Aug 20, 1988",
"Sep 14, 1988",283
"Sep 30, 1988",621
"Oct 7, 1988",
"Oct 16, 1988",510
"Oct 23, 1988",817
"Nov 17, 1988",716
"Nov 24, 1988",597
"Dec 3, 1988",669
"Dec 10, 1988",998
"Dec 19, 1988","1,662"
"Dec 26, 1988",642
"Jan 4, 1989",
"Jan 11, 1989","1,844"
"Jan 20, 1989",
"Jan 27, 1989",668
"Feb 28, 1989",
"Mar 9, 1989",
"Mar 16, 1989",870
"Mar 25, 1989","1,158"
"Apr 17, 1989",
"Apr 26, 1989",
"May 19, 1989",738
"May 28, 1989",389
"Jun 13, 1989",
"Jun 29, 1989",306
"Jul 22, 1989",277
"Aug 16, 1989",
"Aug 23, 1989",
"Sep 1, 1989",
"Sep 17, 1989",
"Sep 24, 1989",252
"Oct 3, 1989",304
"Oct 10, 1989",
"Oct 26, 1989",678
"Nov 11, 1989",
"Nov 20, 1989",551
"Dec 13, 1989",
"Dec 22, 1989",
"Dec 29, 1989",
"Jan 7, 1990","1,507"
"Jan 14, 1990",
"Apr 13, 1990",
"May 15, 1990",
"May 22, 1990",
"Jun 7, 1990",
"Jun 16, 1990",297
"Jun 23, 1990",456
"Jul 2, 1990",
"Jul 9, 1990",498
"Jul 25, 1990",533
"Aug 3, 1990",313
"Aug 10, 1990",
"Aug 19, 1990",
"Aug 26, 1990",469
"Sep 4, 1990",
"Sep 11, 1990",214
"Sep 20, 1990",
"Oct 6, 1990",369
"Oct 29, 1990",413
"Nov 7, 1990",589
"Nov 14, 1990",613
"Nov 23, 1990",
"Dec 9, 1990",540
"Dec 25, 1990",
"Jan 1, 1991","1,098"
"Jan 10, 1991",
"Jan 26, 1991",
"Feb 2, 1991",
"Feb 11, 1991",316
"Feb 27, 1991",
"Mar 31, 1991",
"Apr 7, 1991",845
"Apr 23, 1991",
"May 2, 1991",
"May 18, 1991",
"Jul 21, 1991",
"Jul 28, 1991",
"Aug 6, 1991",
"Aug 13, 1991",492
"Aug 22, 1991",312
"Aug 29, 1991",476
"Sep 7, 1991",363
"Sep 30, 1991",508
"Oct 9, 1991",717
"Oct 16, 1991",
"Oct 25, 1991",804
"Nov 1, 1991",756
"Nov 17, 1991",619
"Nov 26, 1991",
"Dec 12, 1991",
"Dec 19, 1991","1,678"
"Dec 19, 1991",
"Jan 4, 1992",
