system:time_start,SWIR2
"Apr 12, 1984","2,188"
"May 14, 1984",
"Jun 6, 1984",
"Jun 15, 1984",822
"Jun 22, 1984",
"Jul 8, 1984",
"Aug 18, 1984",
"Aug 25, 1984",
"Sep 3, 1984",
"Sep 19, 1984",655
"Oct 5, 1984",
"Oct 12, 1984",755
"Oct 21, 1984",
"Nov 6, 1984",
"Nov 22, 1984",
"Dec 24, 1984","1,397"
"Jan 9, 1985",
"Jan 16, 1985","1,228"
"Jan 25, 1985",
"Mar 5, 1985","1,712"
"Mar 14, 1985","5,254"
"Mar 21, 1985",
"Apr 22, 1985",
"May 1, 1985",
"May 24, 1985",676
"Jul 27, 1985",672
"Aug 5, 1985",
"Aug 12, 1985",583
"Aug 28, 1985",
"Sep 6, 1985",
"Sep 13, 1985",671
"Oct 8, 1985",720
"Oct 31, 1985",
"Nov 9, 1985","1,265"
"Jan 3, 1986",947
"Jan 12, 1986",859
"Feb 13, 1986",
"Mar 1, 1986",
"Mar 8, 1986","1,152"
"Mar 17, 1986",
"Mar 24, 1986","1,859"
"Apr 18, 1986","2,079"
"May 4, 1986","2,004"
"May 11, 1986","1,698"
"May 20, 1986",
"Jun 5, 1986",
"Jun 21, 1986",
"Jul 7, 1986",992
"Jul 14, 1986",
"Aug 15, 1986",829
"Aug 24, 1986",879
"Aug 31, 1986",825
"Sep 9, 1986",839
"Sep 16, 1986",779
"Sep 25, 1986",
"Oct 11, 1986",
"Oct 18, 1986",
"Oct 27, 1986",
"Nov 3, 1986",
"Nov 28, 1986",
"Dec 14, 1986",
"Dec 21, 1986",
"Dec 30, 1986",
"Jan 6, 1987",873
"Feb 7, 1987",227
"Feb 16, 1987",
"Mar 11, 1987",
"Mar 20, 1987","1,709"
"Mar 27, 1987",
"Apr 21, 1987",
"May 7, 1987","1,855"
"May 14, 1987",991
"May 23, 1987",
"May 30, 1987",
"Jun 8, 1987",
"Jun 24, 1987",
"Jul 10, 1987",
"Jul 17, 1987",525
"Jul 26, 1987",
"Aug 2, 1987",
"Aug 18, 1987",780
"Aug 27, 1987",
"Sep 3, 1987",822
"Oct 5, 1987",852
"Oct 14, 1987",931
