system:time_start,BLUE
"Mar 23, 1984",
"Apr 11, 1984",927
"Apr 20, 1984",
"Apr 27, 1984",
"May 6, 1984",730
"May 13, 1984",
"May 29, 1984",250
"Jun 14, 1984",212
"Jun 23, 1984",
"Jun 30, 1984",
"Jul 9, 1984",
"Jul 16, 1984",
"Aug 26, 1984",
"Sep 11, 1984",
"Sep 18, 1984",229
"Oct 4, 1984",242
"Oct 13, 1984",
"Oct 20, 1984",192
"Oct 29, 1984",
"Nov 5, 1984",
"Nov 21, 1984",456
"Dec 7, 1984",720
"Jan 8, 1985",
"Jan 17, 1985",
"Mar 22, 1985",
"Apr 23, 1985",
"Apr 30, 1985",
"Aug 13, 1985",144
"Sep 14, 1985",
"Sep 21, 1985",211
"Oct 7, 1985",
"Oct 16, 1985",
"Nov 8, 1985",
"Nov 24, 1985","1,366"
"Dec 3, 1985","1,085"
"Jan 11, 1986",
"Jan 27, 1986","1,618"
"Mar 16, 1986","1,127"
"Apr 1, 1986",711
"Apr 10, 1986",384
"Apr 17, 1986",256
"Apr 26, 1986",
"May 3, 1986",250
"May 28, 1986",281
"Jun 13, 1986",
"Jun 20, 1986",166
"Jun 29, 1986",
"Jul 6, 1986",256
"Jul 15, 1986",
"Jul 22, 1986",188
"Jul 31, 1986",227
"Aug 16, 1986",202
"Aug 23, 1986",
"Sep 1, 1986",
"Sep 8, 1986",158
"Sep 24, 1986",309
"Oct 10, 1986",251
"Oct 19, 1986",202
"Oct 26, 1986",561
"Nov 4, 1986",366
"Nov 11, 1986",351
"Nov 27, 1986",539
"Dec 6, 1986",
"Dec 13, 1986",80
"Dec 22, 1986","1,296"
"Jan 14, 1987","1,165"
"Jan 23, 1987",
"Feb 8, 1987",
"Feb 15, 1987",
"Mar 3, 1987",
"Mar 19, 1987",-61
"Mar 28, 1987",
"Apr 4, 1987","1,050"
"Apr 13, 1987",
"Apr 20, 1987",
"Apr 29, 1987",298
"May 6, 1987",
"May 15, 1987",312
"May 31, 1987",357
"Jun 7, 1987",
"Jun 16, 1987",238
"Jul 18, 1987",668
"Jul 25, 1987",
"Aug 3, 1987",
"Aug 10, 1987",165
"Aug 19, 1987",
"Aug 26, 1987",
"Sep 4, 1987",299
"Sep 27, 1987",
"Oct 13, 1987",259
"Oct 29, 1987",243
"Nov 7, 1987",406
"Nov 14, 1987",418
"Jan 17, 1988","1,495"
"Jan 26, 1988","2,017"
"Feb 2, 1988",714
"Feb 11, 1988","1,010"
"Feb 18, 1988",804
"Feb 27, 1988",716
"Mar 5, 1988",935
"Mar 21, 1988","1,191"
"Mar 30, 1988",850
"Apr 6, 1988",548
"Apr 22, 1988",550
"May 1, 1988",251
"May 17, 1988",273
"Jun 9, 1988",226
"Jun 18, 1988",286
"Jun 25, 1988",
"Jul 4, 1988",295
"Jul 11, 1988",
"Jul 20, 1988",256
"Jul 27, 1988",540
"Aug 5, 1988",
"Aug 21, 1988",285
"Sep 6, 1988",259
"Sep 13, 1988",166
"Oct 8, 1988",358
"Oct 15, 1988",341
"Nov 25, 1988",
"Dec 2, 1988","1,199"
"Dec 11, 1988",
"Jan 3, 1989",
"Jan 12, 1989",834
"Jan 28, 1989",635
"Feb 4, 1989","1,163"
"Feb 20, 1989",749
"Mar 1, 1989",
"Mar 17, 1989",
"Apr 2, 1989",922
"Apr 9, 1989",918
"Apr 18, 1989",565
"Apr 25, 1989",
"May 11, 1989",273
"May 20, 1989",
"May 27, 1989",189
"Jun 5, 1989",
"Jun 21, 1989",266
"Jun 28, 1989",
"Jul 7, 1989",199
"Jul 14, 1989",205
"Jul 23, 1989",262
"Aug 8, 1989",
"Sep 16, 1989",186
"Sep 25, 1989",
"Oct 11, 1989",
"Oct 27, 1989",371
