system:time_start,GREEN
"Mar 23, 1984",
"Apr 11, 1984","1,049"
"Apr 20, 1984",
"Apr 27, 1984",
"May 6, 1984",844
"May 13, 1984",
"May 29, 1984",440
"Jun 14, 1984",360
"Jun 23, 1984",
"Jun 30, 1984",
"Jul 9, 1984",
"Jul 16, 1984",
"Aug 26, 1984",
"Sep 11, 1984",
"Sep 18, 1984",297
"Oct 4, 1984",314
"Oct 13, 1984",
"Oct 20, 1984",346
"Oct 29, 1984",
"Nov 5, 1984",
"Nov 21, 1984",491
"Dec 7, 1984",712
"Jan 8, 1985",
"Jan 17, 1985",
"Mar 22, 1985",
"Apr 23, 1985",
"Apr 30, 1985",
"Aug 13, 1985",292
"Sep 14, 1985",
"Sep 21, 1985",299
"Oct 7, 1985",
"Oct 16, 1985",
"Nov 8, 1985",
"Nov 24, 1985","1,403"
"Dec 3, 1985","1,071"
"Jan 11, 1986",
"Jan 27, 1986","1,545"
"Mar 16, 1986","1,180"
"Apr 1, 1986",781
"Apr 10, 1986",517
"Apr 17, 1986",367
"Apr 26, 1986",
"May 3, 1986",337
"May 28, 1986",444
"Jun 13, 1986",
"Jun 20, 1986",271
"Jun 29, 1986",
"Jul 6, 1986",424
"Jul 15, 1986",
"Jul 22, 1986",291
"Jul 31, 1986",341
"Aug 16, 1986",310
"Aug 23, 1986",
"Sep 1, 1986",
"Sep 8, 1986",280
"Sep 24, 1986",384
"Oct 10, 1986",340
"Oct 19, 1986",260
"Oct 26, 1986",565
"Nov 4, 1986",310
"Nov 11, 1986",250
"Nov 27, 1986",595
"Dec 6, 1986",
"Dec 13, 1986",141
"Dec 22, 1986","1,150"
"Jan 14, 1987","1,061"
"Jan 23, 1987",
"Feb 8, 1987",
"Feb 15, 1987",
"Mar 3, 1987",
"Mar 19, 1987",236
"Mar 28, 1987",
"Apr 4, 1987","1,160"
"Apr 13, 1987",
"Apr 20, 1987",
"Apr 29, 1987",395
"May 6, 1987",
"May 15, 1987",431
"May 31, 1987",463
"Jun 7, 1987",
"Jun 16, 1987",374
"Jul 18, 1987",720
"Jul 25, 1987",
"Aug 3, 1987",
"Aug 10, 1987",265
"Aug 19, 1987",
"Aug 26, 1987",
"Sep 4, 1987",398
"Sep 27, 1987",
"Oct 13, 1987",343
"Oct 29, 1987",275
"Nov 7, 1987",318
"Nov 14, 1987",423
"Jan 17, 1988","1,430"
"Jan 26, 1988","1,936"
"Feb 2, 1988",687
"Feb 11, 1988",851
"Feb 18, 1988",752
"Feb 27, 1988",615
"Mar 5, 1988",888
"Mar 21, 1988","1,254"
"Mar 30, 1988",936
"Apr 6, 1988",702
"Apr 22, 1988",663
"May 1, 1988",369
"May 17, 1988",405
"Jun 9, 1988",361
"Jun 18, 1988",469
"Jun 25, 1988",
"Jul 4, 1988",417
"Jul 11, 1988",
"Jul 20, 1988",411
"Jul 27, 1988",652
"Aug 5, 1988",
"Aug 21, 1988",353
"Sep 6, 1988",358
"Sep 13, 1988",278
"Oct 8, 1988",451
"Oct 15, 1988",420
"Nov 25, 1988",
"Dec 2, 1988","1,225"
"Dec 11, 1988",
"Jan 3, 1989",
"Jan 12, 1989",778
"Jan 28, 1989",508
"Feb 4, 1989","1,097"
"Feb 20, 1989",796
"Mar 1, 1989",
"Mar 17, 1989",
"Apr 2, 1989","1,005"
"Apr 9, 1989",867
"Apr 18, 1989",679
"Apr 25, 1989",
"May 11, 1989",382
"May 20, 1989",
"May 27, 1989",372
"Jun 5, 1989",
"Jun 21, 1989",440
"Jun 28, 1989",
"Jul 7, 1989",354
"Jul 14, 1989",263
"Jul 23, 1989",411
"Aug 8, 1989",
"Sep 16, 1989",340
"Sep 25, 1989",
"Oct 11, 1989",
"Oct 27, 1989",414
"Nov 3, 1989",
"Dec 14, 1989",
"Dec 21, 1989","4,465"
"Jan 6, 1990","1,092"
"Jan 15, 1990",756
"Apr 21, 1990",427
"May 7, 1990",472
"May 23, 1990",
"May 30, 1990",343
"Jun 15, 1990",335
"Jun 24, 1990",391
"Jul 1, 1990",610
"Jul 10, 1990",359
"Aug 2, 1990",
"Sep 19, 1990",140
"Sep 28, 1990",346
"Oct 5, 1990",234
"Oct 30, 1990",286
"Nov 15, 1990",201
"Nov 22, 1990",
"Dec 8, 1990",451
"Dec 24, 1990",648
"Jan 2, 1991",523
"Jan 25, 1991",506
"Feb 3, 1991",
"Feb 10, 1991",449
"Mar 7, 1991",811
"Mar 14, 1991","1,213"
"Mar 30, 1991","1,404"
"May 17, 1991",316
"Jun 11, 1991",368
"Aug 5, 1991",260
"Aug 14, 1991",428
"Aug 21, 1991",327
"Aug 30, 1991",346
"Sep 6, 1991",
"Sep 15, 1991",
"Oct 8, 1991",438
"Oct 17, 1991",
"Dec 4, 1991","2,786"
"Dec 11, 1991","1,141"
"Jan 28, 1992","1,759"
"Mar 16, 1992",
