system:time_start,NIR
"Mar 23, 1984",
"Apr 11, 1984","2,723"
"Apr 20, 1984",
"Apr 27, 1984",
"May 6, 1984","3,146"
"May 13, 1984",
"May 29, 1984","2,388"
"Jun 14, 1984","2,490"
"Jun 23, 1984",
"Jun 30, 1984",
"Jul 9, 1984",
"Jul 16, 1984",
"Aug 26, 1984",
"Sep 11, 1984",
"Sep 18, 1984","2,050"
"Oct 4, 1984","2,026"
"Oct 13, 1984",
"Oct 20, 1984","1,937"
"Oct 29, 1984",
"Nov 5, 1984",
"Nov 21, 1984","2,302"
"Dec 7, 1984","2,747"
"Jan 8, 1985",
"Jan 17, 1985",
"Mar 22, 1985",
"Apr 23, 1985",
"Apr 30, 1985",
"Aug 13, 1985","2,331"
"Sep 14, 1985",
"Sep 21, 1985","1,738"
"Oct 7, 1985",
"Oct 16, 1985",
"Nov 8, 1985",
"Nov 24, 1985","2,986"
"Dec 3, 1985","3,187"
"Jan 11, 1986",
"Jan 27, 1986","3,353"
"Mar 16, 1986","2,852"
"Apr 1, 1986","2,435"
"Apr 10, 1986","2,037"
"Apr 17, 1986","1,890"
"Apr 26, 1986",
"May 3, 1986","1,963"
"May 28, 1986","2,458"
"Jun 13, 1986",
"Jun 20, 1986","1,785"
"Jun 29, 1986",
"Jul 6, 1986","2,434"
"Jul 15, 1986",
"Jul 22, 1986","2,245"
"Jul 31, 1986","2,430"
"Aug 16, 1986","2,271"
"Aug 23, 1986",
"Sep 1, 1986",
"Sep 8, 1986","1,908"
"Sep 24, 1986","1,736"
"Oct 10, 1986","1,424"
"Oct 19, 1986","1,811"
"Oct 26, 1986","2,206"
"Nov 4, 1986",932
"Nov 11, 1986","2,015"
"Nov 27, 1986","2,191"
"Dec 6, 1986",
"Dec 13, 1986","2,835"
"Dec 22, 1986","2,915"
"Jan 14, 1987","2,111"
"Jan 23, 1987",
"Feb 8, 1987",
"Feb 15, 1987",
"Mar 3, 1987",
"Mar 19, 1987","2,473"
"Mar 28, 1987",
"Apr 4, 1987","2,703"
"Apr 13, 1987",
"Apr 20, 1987",
"Apr 29, 1987","1,954"
"May 6, 1987",
"May 15, 1987","2,237"
"May 31, 1987","2,555"
"Jun 7, 1987",
"Jun 16, 1987","2,556"
"Jul 18, 1987","3,141"
"Jul 25, 1987",
"Aug 3, 1987",
"Aug 10, 1987","2,153"
"Aug 19, 1987",
"Aug 26, 1987",
"Sep 4, 1987","2,262"
"Sep 27, 1987",
"Oct 13, 1987","1,889"
"Oct 29, 1987","1,798"
"Nov 7, 1987","1,869"
"Nov 14, 1987","1,912"
"Jan 17, 1988","2,744"
"Jan 26, 1988","2,566"
"Feb 2, 1988","2,435"
"Feb 11, 1988","2,669"
"Feb 18, 1988","2,592"
"Feb 27, 1988","1,065"
"Mar 5, 1988","2,592"
"Mar 21, 1988","3,060"
"Mar 30, 1988","2,448"
"Apr 6, 1988","2,201"
"Apr 22, 1988","2,047"
"May 1, 1988","1,988"
"May 17, 1988","2,101"
"Jun 9, 1988","2,328"
"Jun 18, 1988","2,761"
"Jun 25, 1988",
"Jul 4, 1988","2,540"
"Jul 11, 1988",
"Jul 20, 1988","2,882"
"Jul 27, 1988","2,514"
"Aug 5, 1988",
"Aug 21, 1988","2,414"
"Sep 6, 1988","2,327"
"Sep 13, 1988","1,894"
"Oct 8, 1988","1,888"
"Oct 15, 1988","1,917"
"Nov 25, 1988",
"Dec 2, 1988","3,042"
"Dec 11, 1988",
"Jan 3, 1989",
"Jan 12, 1989","2,732"
"Jan 28, 1989","2,629"
"Feb 4, 1989","2,980"
"Feb 20, 1989","2,564"
"Mar 1, 1989",
"Mar 17, 1989",
"Apr 2, 1989","2,632"
"Apr 9, 1989","1,514"
"Apr 18, 1989","2,267"
"Apr 25, 1989",
"May 11, 1989","2,055"
"May 20, 1989",
"May 27, 1989","2,132"
"Jun 5, 1989",
"Jun 21, 1989","2,561"
"Jun 28, 1989",
"Jul 7, 1989","2,715"
"Jul 14, 1989","2,408"
"Jul 23, 1989","2,687"
"Aug 8, 1989",
"Sep 16, 1989","2,091"
"Sep 25, 1989",
"Oct 11, 1989",
"Oct 27, 1989","2,155"
"Nov 3, 1989",
"Dec 14, 1989",
"Dec 21, 1989","5,189"
"Jan 6, 1990","3,009"
"Jan 15, 1990","2,683"
"Apr 21, 1990","2,084"
"May 7, 1990","2,165"
"May 23, 1990",
"May 30, 1990","2,051"
"Jun 15, 1990","2,072"
"Jun 24, 1990","2,548"
"Jul 1, 1990","2,647"
"Jul 10, 1990","2,554"
"Aug 2, 1990",
"Sep 19, 1990",530
"Sep 28, 1990","2,034"
"Oct 5, 1990","1,678"
"Oct 30, 1990","2,018"
"Nov 15, 1990","1,503"
"Nov 22, 1990",
"Dec 8, 1990","2,276"
"Dec 24, 1990","2,398"
"Jan 2, 1991","2,499"
"Jan 25, 1991","2,496"
"Feb 3, 1991",
"Feb 10, 1991","2,148"
"Mar 7, 1991","2,640"
"Mar 14, 1991","2,701"
"Mar 30, 1991","3,094"
"May 17, 1991","2,039"
"Jun 11, 1991","2,477"
"Aug 5, 1991","1,721"
"Aug 14, 1991","2,546"
"Aug 21, 1991","2,183"
"Aug 30, 1991","2,230"
"Sep 6, 1991",
"Sep 15, 1991",
"Oct 8, 1991","1,839"
"Oct 17, 1991",
"Dec 4, 1991","3,488"
"Dec 11, 1991","2,571"
"Jan 28, 1992","3,206"
"Mar 16, 1992",
"Mar 25, 1992",
"Apr 17, 1992","2,573"
"May 12, 1992",
"May 19, 1992","2,115"
"May 28, 1992",
"Jun 4, 1992","2,560"
"Jun 13, 1992","2,764"
"Jun 20, 1992",
"Jun 29, 1992","3,062"
"Jul 6, 1992","2,747"
"Jul 15, 1992","3,056"
"Jul 31, 1992","2,648"
"Aug 16, 1992","2,376"
"Aug 23, 1992",
"Sep 1, 1992","2,503"
"Sep 8, 1992","2,062"
"Sep 24, 1992","1,943"
"Oct 3, 1992","2,021"
"Oct 19, 1992","2,825"
"Oct 26, 1992",
"Nov 11, 1992","1,744"
"Nov 27, 1992",
"Dec 6, 1992","1,424"
"Jan 7, 1993","2,749"
"Jan 30, 1993",
"Feb 15, 1993","2,589"
"Feb 24, 1993","2,665"
"Mar 3, 1993",
"Mar 12, 1993",
"Mar 28, 1993","2,429"
"Apr 4, 1993",
"Apr 13, 1993","2,574"
"Apr 20, 1993","2,353"
"Apr 29, 1993",
"May 6, 1993","1,953"
"May 15, 1993",
"May 22, 1993","2,120"
"Jun 23, 1993","2,578"
"Aug 3, 1993",
"Aug 10, 1993","2,146"
"Aug 19, 1993","2,931"
"Sep 4, 1993",
"Oct 6, 1993",
"Oct 13, 1993","1,832"
"Oct 22, 1993","1,964"
"Nov 7, 1993",
"Nov 30, 1993",
"Dec 9, 1993",
"Dec 25, 1993",
"Jan 17, 1994",
"Jan 26, 1994","2,439"
"Feb 11, 1994","2,487"
"Feb 27, 1994","2,459"
"Mar 22, 1994","1,622"
"Mar 31, 1994","2,769"
"Apr 7, 1994",
"Apr 16, 1994","2,161"
"Apr 23, 1994","1,995"
"May 2, 1994",
"Jun 3, 1994","1,907"
"Jun 19, 1994",
"Jun 26, 1994","2,091"
"Jul 12, 1994","2,089"
"Jul 21, 1994",
"Jul 28, 1994","3,383"
"Aug 6, 1994",
"Aug 22, 1994","2,888"
"Aug 29, 1994","1,999"
"Sep 7, 1994","2,022"
"Sep 23, 1994",
"Sep 30, 1994",
"Oct 9, 1994",
"Nov 1, 1994","1,712"
"Nov 10, 1994",
"Nov 17, 1994",
"Nov 26, 1994","2,449"
"Dec 12, 1994","2,538"
"Dec 19, 1994",
"Jan 4, 1995","2,554"
"Feb 5, 1995","3,271"
"Feb 14, 1995","2,609"
"Mar 9, 1995","3,250"
"Apr 3, 1995",707
"Apr 10, 1995",
"Apr 26, 1995",
"May 5, 1995",
"May 12, 1995",
"Jun 13, 1995","2,349"
"Jun 22, 1995","2,822"
"Jul 31, 1995","1,680"
"Sep 1, 1995",
"Sep 10, 1995","2,015"
"Sep 17, 1995",
"Sep 26, 1995",996
"Oct 12, 1995","1,901"
"Nov 4, 1995","3,288"
"Dec 6, 1995","2,801"
"Dec 15, 1995",
"Jan 7, 1996","2,906"
"Feb 1, 1996","2,827"
"Feb 8, 1996","2,758"
"Feb 17, 1996",
"Feb 24, 1996","2,698"
"Mar 4, 1996",
"Mar 20, 1996",
"Mar 27, 1996",
"Apr 5, 1996","3,603"
"Apr 21, 1996","2,837"
"Apr 28, 1996","2,723"
"May 14, 1996",
"May 30, 1996","2,136"
"Jun 8, 1996","2,482"
"Jun 15, 1996","1,952"
"Jul 1, 1996","2,754"
"Jul 10, 1996","2,708"
"Jul 17, 1996","2,532"
"Jul 26, 1996","2,761"
"Aug 2, 1996","2,316"
"Aug 11, 1996","2,805"
"Aug 18, 1996","2,317"
"Aug 27, 1996","2,410"
"Sep 3, 1996",
"Sep 19, 1996","2,075"
"Oct 5, 1996",
"Oct 14, 1996","2,120"
"Oct 21, 1996",
"Nov 22, 1996",
"Dec 24, 1996",
"Jan 18, 1997","3,245"
"Jan 25, 1997",
"Mar 23, 1997",
"Apr 15, 1997","2,628"
"Apr 24, 1997",
"May 1, 1997","1,950"
"May 10, 1997","2,257"
"May 17, 1997",
"May 26, 1997","2,213"
"Jun 2, 1997","2,299"
"Jun 11, 1997",
"Jun 27, 1997","2,871"
"Jul 4, 1997",
"Jul 13, 1997",
"Jul 20, 1997",
"Jul 29, 1997","2,647"
"Aug 5, 1997",
"Aug 14, 1997",
"Sep 15, 1997",
"Sep 22, 1997","2,266"
"Oct 1, 1997","1,961"
"Oct 8, 1997",
"Oct 17, 1997","2,277"
"Oct 24, 1997",
"Nov 18, 1997",
"Nov 25, 1997",
"Dec 20, 1997",
"Dec 27, 1997",
"Feb 6, 1998","2,832"
"Feb 22, 1998","2,636"
"Mar 10, 1998","3,175"
"Mar 17, 1998",
"Apr 11, 1998",
"Apr 18, 1998",
"Apr 27, 1998","2,089"
"May 4, 1998","2,316"
"May 20, 1998","2,209"
"May 29, 1998",
