system:time_start,RED
"Mar 23, 1984",
"Apr 11, 1984",972
"Apr 20, 1984",
"Apr 27, 1984",
"May 6, 1984",771
"May 13, 1984",
"May 29, 1984",361
"Jun 14, 1984",297
"Jun 23, 1984",
"Jun 30, 1984",
"Jul 9, 1984",
"Jul 16, 1984",
"Aug 26, 1984",
"Sep 11, 1984",
"Sep 18, 1984",244
"Oct 4, 1984",287
"Oct 13, 1984",
"Oct 20, 1984",252
"Oct 29, 1984",
"Nov 5, 1984",
"Nov 21, 1984",456
"Dec 7, 1984",631
"Jan 8, 1985",
"Jan 17, 1985",
"Mar 22, 1985",
"Apr 23, 1985",
"Apr 30, 1985",
"Aug 13, 1985",163
"Sep 14, 1985",
"Sep 21, 1985",245
"Oct 7, 1985",
"Oct 16, 1985",
"Nov 8, 1985",
"Nov 24, 1985","1,353"
"Dec 3, 1985",927
"Jan 11, 1986",
"Jan 27, 1986","1,375"
"Mar 16, 1986","1,023"
"Apr 1, 1986",735
"Apr 10, 1986",440
"Apr 17, 1986",351
"Apr 26, 1986",
"May 3, 1986",358
"May 28, 1986",371
"Jun 13, 1986",
"Jun 20, 1986",221
"Jun 29, 1986",
"Jul 6, 1986",322
"Jul 15, 1986",
"Jul 22, 1986",230
"Jul 31, 1986",240
"Aug 16, 1986",239
"Aug 23, 1986",
"Sep 1, 1986",
"Sep 8, 1986",194
"Sep 24, 1986",314
"Oct 10, 1986",306
"Oct 19, 1986",280
"Oct 26, 1986",544
"Nov 4, 1986",315
"Nov 11, 1986",388
"Nov 27, 1986",450
"Dec 6, 1986",
"Dec 13, 1986",16
"Dec 22, 1986","1,082"
"Jan 14, 1987","1,086"
"Jan 23, 1987",
"Feb 8, 1987",
"Feb 15, 1987",
"Mar 3, 1987",
"Mar 19, 1987",239
"Mar 28, 1987",
"Apr 4, 1987","1,035"
"Apr 13, 1987",
"Apr 20, 1987",
"Apr 29, 1987",376
"May 6, 1987",
"May 15, 1987",357
"May 31, 1987",355
"Jun 7, 1987",
"Jun 16, 1987",222
"Jul 18, 1987",507
"Jul 25, 1987",
"Aug 3, 1987",
"Aug 10, 1987",170
"Aug 19, 1987",
"Aug 26, 1987",
"Sep 4, 1987",344
"Sep 27, 1987",
"Oct 13, 1987",263
"Oct 29, 1987",283
"Nov 7, 1987",202
"Nov 14, 1987",405
"Jan 17, 1988","1,314"
"Jan 26, 1988","1,792"
"Feb 2, 1988",626
"Feb 11, 1988",751
"Feb 18, 1988",680
"Feb 27, 1988",536
"Mar 5, 1988",813
"Mar 21, 1988","1,103"
"Mar 30, 1988",870
"Apr 6, 1988",631
"Apr 22, 1988",678
"May 1, 1988",390
"May 17, 1988",362
"Jun 9, 1988",269
"Jun 18, 1988",270
"Jun 25, 1988",
"Jul 4, 1988",286
"Jul 11, 1988",
"Jul 20, 1988",239
"Jul 27, 1988",580
"Aug 5, 1988",
"Aug 21, 1988",278
"Sep 6, 1988",269
"Sep 13, 1988",195
"Oct 8, 1988",269
"Oct 15, 1988",375
"Nov 25, 1988",
"Dec 2, 1988",987
"Dec 11, 1988",
"Jan 3, 1989",
"Jan 12, 1989",573
"Jan 28, 1989",534
"Feb 4, 1989","1,013"
"Feb 20, 1989",685
"Mar 1, 1989",
"Mar 17, 1989",
"Apr 2, 1989",895
"Apr 9, 1989",764
"Apr 18, 1989",649
"Apr 25, 1989",
"May 11, 1989",401
"May 20, 1989",
"May 27, 1989",331
"Jun 5, 1989",
"Jun 21, 1989",339
"Jun 28, 1989",
"Jul 7, 1989",261
"Jul 14, 1989",226
"Jul 23, 1989",275
"Aug 8, 1989",
"Sep 16, 1989",243
"Sep 25, 1989",
"Oct 11, 1989",
"Oct 27, 1989",359
"Nov 3, 1989",
"Dec 14, 1989",
"Dec 21, 1989","4,511"
"Jan 6, 1990","1,035"
"Jan 15, 1990",572
"Apr 21, 1990",371
"May 7, 1990",418
"May 23, 1990",
"May 30, 1990",307
"Jun 15, 1990",246
"Jun 24, 1990",263
"Jul 1, 1990",518
"Jul 10, 1990",233
"Aug 2, 1990",
"Sep 19, 1990",101
"Sep 28, 1990",322
"Oct 5, 1990",258
"Oct 30, 1990",185
"Nov 15, 1990",288
"Nov 22, 1990",
"Dec 8, 1990",410
"Dec 24, 1990",550
"Jan 2, 1991",541
"Jan 25, 1991",522
"Feb 3, 1991",
"Feb 10, 1991",349
"Mar 7, 1991",693
"Mar 14, 1991","1,138"
"Mar 30, 1991","1,343"
"May 17, 1991",284
"Jun 11, 1991",271
"Aug 5, 1991",167
"Aug 14, 1991",309
"Aug 21, 1991",216
"Aug 30, 1991",264
"Sep 6, 1991",
"Sep 15, 1991",
"Oct 8, 1991",260
"Oct 17, 1991",
"Dec 4, 1991","2,614"
"Dec 11, 1991",993
"Jan 28, 1992","1,699"
"Mar 16, 1992",
"Mar 25, 1992",
"Apr 17, 1992",998
"May 12, 1992",
"May 19, 1992",361
"May 28, 1992",
"Jun 4, 1992",485
"Jun 13, 1992",384
"Jun 20, 1992",
"Jun 29, 1992",486
"Jul 6, 1992",447
"Jul 15, 1992",536
"Jul 31, 1992",392
"Aug 16, 1992",227
"Aug 23, 1992",
"Sep 1, 1992",336
"Sep 8, 1992",298
"Sep 24, 1992",302
"Oct 3, 1992",331
"Oct 19, 1992","1,226"
