system:time_start,SWIR1
"Mar 23, 1984",
"Apr 11, 1984","2,047"
"Apr 20, 1984","1,851"
"Apr 27, 1984",
"May 6, 1984",
"May 13, 1984",
"May 29, 1984","2,029"
"Jun 14, 1984","2,053"
"Jun 23, 1984",
"Jun 30, 1984","1,915"
"Jul 9, 1984",
"Jul 16, 1984",
"Aug 26, 1984",
"Sep 11, 1984",
"Sep 18, 1984","1,833"
"Oct 4, 1984","2,073"
"Oct 13, 1984",
"Oct 20, 1984","1,797"
"Oct 29, 1984",
"Nov 5, 1984",
"Nov 21, 1984",
"Dec 7, 1984","1,124"
"Jan 8, 1985",
"Jan 17, 1985",
"Mar 22, 1985","1,436"
"Apr 23, 1985",
"Apr 30, 1985",
"Aug 13, 1985","1,717"
"Sep 14, 1985",
"Sep 21, 1985","2,351"
"Oct 7, 1985",
"Oct 16, 1985",
"Nov 8, 1985","1,698"
"Nov 24, 1985","1,017"
"Dec 3, 1985","1,175"
"Jan 11, 1986",
"Jan 27, 1986",
"Mar 16, 1986",826
"Apr 1, 1986","1,072"
"Apr 10, 1986","2,430"
"Apr 17, 1986","2,351"
"Apr 26, 1986",
"May 3, 1986","2,418"
"May 28, 1986","1,863"
"Jun 13, 1986","1,944"
"Jun 20, 1986","1,299"
"Jun 29, 1986","2,067"
"Jul 6, 1986",
"Jul 15, 1986",
"Jul 22, 1986","1,605"
"Jul 31, 1986","1,731"
"Aug 16, 1986","1,678"
"Aug 23, 1986",
"Sep 1, 1986",
"Sep 8, 1986","1,600"
"Sep 24, 1986","1,944"
"Oct 10, 1986","1,430"
"Oct 19, 1986","1,840"
"Oct 26, 1986",
"Nov 4, 1986",
"Nov 11, 1986",951
"Nov 27, 1986",751
"Dec 6, 1986",
"Dec 13, 1986","1,147"
"Dec 22, 1986",960
"Jan 14, 1987",950
"Jan 23, 1987",
"Feb 8, 1987",
"Feb 15, 1987",
"Mar 3, 1987",
"Mar 19, 1987","1,434"
"Mar 28, 1987",
"Apr 4, 1987",920
"Apr 13, 1987",
"Apr 20, 1987",
"Apr 29, 1987","2,490"
"May 6, 1987",
"May 15, 1987","1,892"
"May 31, 1987",388
"Jun 7, 1987",
"Jun 16, 1987","1,735"
"Jul 18, 1987","1,825"
"Jul 25, 1987",
"Aug 3, 1987",
"Aug 10, 1987","1,652"
"Aug 19, 1987","1,846"
"Aug 26, 1987","1,434"
"Sep 4, 1987","1,645"
"Sep 27, 1987",
"Oct 13, 1987","1,844"
"Oct 29, 1987",994
"Nov 7, 1987","1,578"
"Nov 14, 1987",
"Jan 17, 1988",877
"Jan 26, 1988",
"Feb 2, 1988","1,080"
"Feb 11, 1988","1,157"
"Feb 18, 1988","1,011"
"Feb 27, 1988",66
"Mar 5, 1988",900
"Mar 21, 1988","1,086"
"Mar 30, 1988",559
"Apr 6, 1988",
"Apr 22, 1988","2,177"
"May 1, 1988","2,484"
"May 17, 1988","2,142"
"Jun 9, 1988","1,528"
"Jun 18, 1988","1,437"
"Jun 25, 1988",
"Jul 4, 1988","1,746"
"Jul 11, 1988",
"Jul 20, 1988",
"Jul 27, 1988",
"Aug 5, 1988",
"Aug 21, 1988","2,440"
"Sep 6, 1988","1,578"
"Sep 13, 1988","1,506"
"Oct 8, 1988","1,861"
"Oct 15, 1988","1,989"
"Nov 25, 1988",
"Dec 2, 1988",825
"Dec 11, 1988",
"Jan 3, 1989",
"Jan 12, 1989",
"Jan 28, 1989",844
"Feb 4, 1989","1,085"
"Feb 20, 1989",793
"Mar 1, 1989",
"Mar 17, 1989",
"Apr 2, 1989",493
"Apr 9, 1989",
"Apr 18, 1989","1,862"
"Apr 25, 1989",
"May 11, 1989","2,524"
"May 20, 1989",
"May 27, 1989","1,510"
"Jun 5, 1989",
"Jun 21, 1989","1,573"
"Jun 28, 1989",
"Jul 7, 1989",778
"Jul 14, 1989","1,474"
"Jul 23, 1989","1,674"
"Aug 8, 1989",
"Sep 16, 1989","1,374"
"Sep 25, 1989",
"Oct 11, 1989","2,050"
"Oct 27, 1989","1,955"
"Nov 3, 1989",653
"Dec 14, 1989",
"Dec 21, 1989","2,286"
"Jan 6, 1990",992
"Jan 15, 1990",
"Apr 21, 1990","2,448"
"May 7, 1990","1,780"
"May 23, 1990",
"May 30, 1990","1,572"
"Jun 15, 1990","1,443"
"Jun 24, 1990","1,622"
"Jul 1, 1990","1,517"
"Jul 10, 1990","1,687"
"Aug 2, 1990",
"Sep 19, 1990",
"Sep 28, 1990","1,734"
"Oct 5, 1990","1,403"
"Oct 30, 1990","1,567"
"Nov 15, 1990","1,378"
"Nov 22, 1990",882
"Dec 8, 1990",844
"Dec 24, 1990",922
"Jan 2, 1991",
"Jan 25, 1991",997
"Feb 3, 1991",
"Feb 10, 1991",641
"Mar 7, 1991","1,213"
"Mar 14, 1991",870
"Mar 30, 1991",880
"May 17, 1991","1,544"
"Jun 11, 1991","1,665"
"Aug 5, 1991","1,591"
"Aug 14, 1991","1,571"
"Aug 21, 1991","1,456"
"Aug 30, 1991","1,512"
"Sep 6, 1991",
"Sep 15, 1991",
"Oct 8, 1991","1,586"
"Oct 17, 1991","1,938"
"Dec 4, 1991",
"Dec 11, 1991",751
"Jan 28, 1992",926
"Mar 16, 1992",915
"Mar 25, 1992",
"Apr 17, 1992",800
"May 12, 1992",
"May 19, 1992","1,593"
"May 28, 1992",
"Jun 4, 1992","1,390"
"Jun 13, 1992","1,582"
"Jun 20, 1992",
"Jun 29, 1992",
"Jul 6, 1992",761
"Jul 15, 1992",567
"Jul 31, 1992","1,561"
"Aug 16, 1992",
"Aug 23, 1992","1,407"
"Sep 1, 1992","1,670"
"Sep 8, 1992","1,332"
"Sep 24, 1992","1,399"
"Oct 3, 1992","1,662"
"Oct 19, 1992",
"Oct 26, 1992",
"Nov 11, 1992","1,066"
"Nov 27, 1992",
"Dec 6, 1992",431
"Jan 7, 1993",973
"Jan 30, 1993",651
"Feb 15, 1993","1,078"
"Feb 24, 1993","1,239"
"Mar 3, 1993",
"Mar 12, 1993",
"Mar 28, 1993",813
"Apr 4, 1993",576
"Apr 13, 1993",888
"Apr 20, 1993","1,333"
"Apr 29, 1993",
"May 6, 1993","2,141"
"May 15, 1993",
"May 22, 1993","1,738"
"Jun 23, 1993","1,405"
"Aug 3, 1993",
"Aug 10, 1993","1,384"
"Aug 19, 1993",
"Sep 4, 1993",
"Oct 6, 1993",
"Oct 13, 1993","1,592"
"Oct 22, 1993","1,389"
"Nov 7, 1993",
"Nov 30, 1993",
"Dec 9, 1993",642
"Dec 25, 1993",
"Jan 17, 1994",
"Jan 26, 1994","1,060"
"Feb 11, 1994","1,105"
"Feb 27, 1994",954
"Mar 22, 1994",745
"Mar 31, 1994",751
"Apr 7, 1994",
"Apr 16, 1994",
"Apr 23, 1994","2,106"
"May 2, 1994",
"Jun 3, 1994","1,403"
"Jun 19, 1994",
"Jun 26, 1994","1,397"
"Jul 12, 1994","1,310"
"Jul 21, 1994",
"Jul 28, 1994","1,617"
"Aug 6, 1994",
"Aug 22, 1994","1,581"
"Aug 29, 1994","1,397"
"Sep 7, 1994","1,439"
"Sep 23, 1994",685
"Sep 30, 1994",
"Oct 9, 1994",
"Nov 1, 1994","1,589"
"Nov 10, 1994","1,579"
"Nov 17, 1994",
"Nov 26, 1994",
"Dec 12, 1994",801
"Dec 19, 1994",
"Jan 4, 1995","1,011"
"Feb 5, 1995",
"Feb 14, 1995",
"Mar 9, 1995","1,105"
"Apr 3, 1995","1,573"
"Apr 10, 1995",
"Apr 26, 1995","1,563"
"May 5, 1995",
"May 12, 1995",
"Jun 13, 1995","1,344"
"Jun 22, 1995","1,589"
"Jul 31, 1995",935
"Sep 1, 1995","1,198"
"Sep 10, 1995","1,322"
"Sep 17, 1995",299
"Sep 26, 1995","1,429"
"Oct 12, 1995","1,660"
"Nov 4, 1995",117
"Dec 6, 1995",
"Dec 15, 1995",428
"Jan 7, 1996",703
"Feb 1, 1996",
"Feb 8, 1996",792
"Feb 17, 1996",
"Feb 24, 1996",962
"Mar 4, 1996",
"Mar 20, 1996",
"Mar 27, 1996",
"Apr 5, 1996","1,211"
"Apr 21, 1996",886
"Apr 28, 1996",
"May 14, 1996",
"May 30, 1996","1,512"
"Jun 8, 1996","1,383"
"Jun 15, 1996",
"Jul 1, 1996","1,319"
"Jul 10, 1996","1,566"
"Jul 17, 1996","1,401"
"Jul 26, 1996","1,580"
"Aug 2, 1996","1,340"
"Aug 11, 1996","1,834"
"Aug 18, 1996","1,439"
"Aug 27, 1996","1,500"
"Sep 3, 1996",
"Sep 19, 1996","1,335"
"Oct 5, 1996",
"Oct 14, 1996",
"Oct 21, 1996",
"Nov 22, 1996",
"Dec 24, 1996",
"Jan 18, 1997",928
"Jan 25, 1997",
"Mar 23, 1997",
"Apr 15, 1997",971
"Apr 24, 1997",
"May 1, 1997","1,942"
"May 10, 1997","2,147"
"May 17, 1997","1,814"
"May 26, 1997","2,287"
"Jun 2, 1997","1,656"
"Jun 11, 1997",
"Jun 27, 1997","1,579"
"Jul 4, 1997",
"Jul 13, 1997",
"Jul 20, 1997","1,182"
"Jul 29, 1997","1,555"
"Aug 5, 1997","1,537"
"Aug 14, 1997",
"Sep 15, 1997",
"Sep 22, 1997","1,507"
"Oct 1, 1997","1,251"
"Oct 8, 1997",
"Oct 17, 1997","1,853"
"Oct 24, 1997",
"Nov 18, 1997",
"Nov 25, 1997",
"Dec 20, 1997",
"Dec 27, 1997",
"Feb 6, 1998",
"Feb 22, 1998","1,372"
"Mar 10, 1998",
"Mar 17, 1998",
"Apr 11, 1998","2,233"
"Apr 18, 1998",
"Apr 27, 1998","2,088"
"May 4, 1998","1,797"
"May 20, 1998","1,255"
"May 29, 1998","1,530"
"Jun 14, 1998","1,678"
"Jul 16, 1998",
"Jul 23, 1998",
"Aug 1, 1998","1,294"
"Aug 17, 1998",
"Aug 24, 1998",
"Sep 9, 1998","1,256"
"Sep 18, 1998","1,392"
"Sep 25, 1998",
"Oct 4, 1998",
"Oct 11, 1998","1,560"
"Oct 27, 1998",
"Nov 12, 1998",
"Nov 21, 1998",
"Nov 28, 1998","1,470"
"Dec 7, 1998","1,235"
"Dec 14, 1998","1,301"
"Dec 23, 1998",976
"Dec 30, 1998",907
"Jan 24, 1999","1,125"
"Jan 31, 1999",872
"Mar 13, 1999","1,018"
"Mar 20, 1999",
"Mar 29, 1999",
"Apr 14, 1999",636
"Apr 30, 1999","2,139"
"May 16, 1999",
"Jun 8, 1999","1,624"
"Jun 17, 1999","1,594"
"Jun 24, 1999",
"Jul 2, 1999","1,631"
"Jul 10, 1999",
"Jul 11, 1999","1,713"
"Jul 18, 1999",
"Jul 19, 1999",
"Jul 26, 1999","1,407"
"Jul 27, 1999","1,576"
"Aug 3, 1999",
"Aug 4, 1999",
"Aug 11, 1999",
"Aug 19, 1999",
"Aug 20, 1999",
"Aug 27, 1999","1,422"
"Aug 28, 1999",
"Sep 4, 1999",
"Sep 5, 1999",
"Sep 13, 1999",
"Sep 20, 1999","1,034"
"Sep 21, 1999",
"Sep 28, 1999",
"Sep 29, 1999",
"Oct 6, 1999","1,484"
"Oct 15, 1999","1,546"
"Oct 30, 1999",
"Oct 31, 1999","1,344"
"Nov 7, 1999","1,444"
"Nov 8, 1999","1,529"
"Nov 15, 1999","1,327"
"Nov 16, 1999",
"Nov 24, 1999",
"Dec 1, 1999",
"Dec 10, 1999",
"Dec 17, 1999",
"Dec 18, 1999",608
"Dec 25, 1999",987
"Jan 3, 2000",
"Jan 18, 2000",
"Jan 26, 2000",
"Feb 4, 2000",
"Feb 11, 2000",
"Feb 12, 2000",
"Feb 20, 2000",
"Feb 27, 2000",
"Feb 28, 2000",
"Mar 6, 2000","1,152"
"Mar 7, 2000","1,417"
"Mar 14, 2000",
"Mar 23, 2000",
"Mar 30, 2000",
"Apr 8, 2000","2,057"
"Apr 23, 2000","1,978"
"Apr 24, 2000","2,140"
"May 1, 2000",
"May 2, 2000","2,267"
"May 9, 2000",
"May 10, 2000","1,584"
"May 17, 2000",
"May 18, 2000",
"May 25, 2000","1,588"
"May 26, 2000","1,330"
"Jun 2, 2000",
"Jun 11, 2000",
"Jun 18, 2000",
"Jun 19, 2000",
"Jun 26, 2000","1,526"
