system:time_start,BLUE
"Mar 16, 1984",
"Mar 26, 1984",
"Apr 9, 1984",668
"Apr 25, 1984",578
"May 27, 1984",538
"Jun 28, 1984",284
"Jul 14, 1984",
"Jul 30, 1984",
"Aug 15, 1984",
"Sep 16, 1984",328
"Oct 2, 1984",
"Nov 3, 1984",844
"Nov 19, 1984","1,426"
"Jan 22, 1985",
"Feb 7, 1985","5,909"
"Apr 12, 1985",
"Apr 28, 1985",534
"Jun 15, 1985",
"Jul 17, 1985",
"Aug 2, 1985",
"Oct 21, 1985",
"Nov 6, 1985",
"Jan 9, 1986",
"Feb 10, 1986","6,490"
"Mar 30, 1986","20,000"
"Apr 15, 1986",663
"May 17, 1986",527
"Jun 2, 1986",354
"Jun 18, 1986",289
"Jul 4, 1986",
"Jul 20, 1986",
"Aug 5, 1986",285
"Aug 21, 1986",243
"Sep 6, 1986",
"Jan 12, 1987",
"Mar 17, 1987",
"Apr 2, 1987",
"Apr 18, 1987",624
"May 4, 1987",602
"Jun 5, 1987",
"Jun 21, 1987",421
"Jul 7, 1987",
"Jul 23, 1987",
"Aug 8, 1987",298
"Aug 24, 1987",262
"Sep 9, 1987",
"Sep 25, 1987",317
"Oct 11, 1987",
"Nov 12, 1987",
"Mar 3, 1988","5,146"
"Apr 20, 1988",530
"May 6, 1988",633
"May 22, 1988",499
"Jun 7, 1988",339
"Jul 9, 1988",332
"Jul 25, 1988",296
"Aug 10, 1988",406
"Aug 26, 1988",
"Sep 11, 1988",
"Oct 13, 1988",464
"Nov 30, 1988",
"Feb 18, 1989","5,776"
"Mar 6, 1989","20,000"
"Apr 7, 1989",
"Apr 23, 1989",
"May 9, 1989",584
"Jun 10, 1989",275
"Jul 28, 1989",
"Aug 13, 1989",
"Sep 14, 1989",294
"Sep 30, 1989",411
"Dec 19, 1989",
"Apr 10, 1990",
"May 12, 1990",574
"May 28, 1990",494
"Jun 13, 1990",303
"Jun 29, 1990",612
"Jul 15, 1990",535
"Jul 31, 1990",242
"Aug 16, 1990",309
"Sep 1, 1990",273
"Sep 17, 1990",360
"Dec 6, 1990",
"Dec 22, 1990","4,520"
"Jan 23, 1991",
"Feb 8, 1991","3,515"
"Feb 24, 1991","4,883"
"Mar 12, 1991","4,548"
"Apr 13, 1991","1,062"
"May 15, 1991",608
"May 31, 1991",
"Jun 16, 1991",259
"Jul 18, 1991",
"Sep 4, 1991",253
"Sep 20, 1991",331
"Oct 6, 1991",
"Nov 7, 1991","4,810"
"Nov 23, 1991",
"Jan 10, 1992","4,622"
"Feb 11, 1992","4,350"
"Mar 14, 1992",
"Mar 30, 1992","3,682"
"Jun 2, 1992",
"Jul 20, 1992",909
"Aug 5, 1992",
"Aug 21, 1992",688
"Sep 6, 1992",252
"Sep 22, 1992",426
"Oct 8, 1992",
"Oct 24, 1992",
"Dec 27, 1992",
"Feb 13, 1993","4,248"
"Mar 1, 1993","4,714"
"Mar 17, 1993","4,490"
"Apr 2, 1993","1,247"
"Apr 18, 1993",946
"May 4, 1993",641
"May 20, 1993",
"Jun 5, 1993",707
"Jun 21, 1993",
"Jul 7, 1993",
"Aug 8, 1993",260
"Aug 24, 1993",211
"Sep 9, 1993",438
"Sep 25, 1993",347
"Oct 11, 1993",529
"Oct 27, 1993",
"Nov 12, 1993",
"Jan 15, 1994","3,721"
"Jan 31, 1994","4,283"
"Mar 4, 1994","3,274"
"Apr 5, 1994","1,890"
"Apr 21, 1994",
"May 7, 1994",577
"May 23, 1994",
"Jun 8, 1994",218
"Jun 24, 1994",218
"Jul 10, 1994",259
"Aug 11, 1994",391
"Oct 14, 1994",
"Oct 30, 1994",316
"Nov 15, 1994",318
"Jan 2, 1995",
"Jan 18, 1995","2,477"
"Mar 7, 1995","3,993"
"Apr 8, 1995",577
"Apr 24, 1995",357
"May 26, 1995",469
"Jun 11, 1995",442
"Jul 13, 1995",429
"Jul 29, 1995",219
"Aug 14, 1995",248
"Aug 30, 1995",712
"Oct 17, 1995",465
"Feb 22, 1996","4,327"
"Mar 9, 1996","4,558"
"Mar 25, 1996",
"Apr 10, 1996",
"Apr 26, 1996","4,128"
"May 12, 1996",
"May 28, 1996",385
"Jun 13, 1996",421
"Jul 31, 1996",245
"Aug 16, 1996",
"Aug 23, 1996",257
"Sep 1, 1996",287
"Sep 8, 1996",220
"Oct 3, 1996",415
"Oct 19, 1996",422
