system:time_start,GREEN
"Mar 16, 1984",
"Mar 26, 1984",
"Apr 9, 1984",941
"Apr 25, 1984",829
"May 27, 1984",800
"Jun 28, 1984",591
"Jul 14, 1984",
"Jul 30, 1984",
"Aug 15, 1984",
"Sep 16, 1984",553
"Oct 2, 1984",
"Nov 3, 1984",983
"Nov 19, 1984","1,538"
"Jan 22, 1985",
"Feb 7, 1985","6,253"
"Apr 12, 1985",
"Apr 28, 1985",762
"Jun 15, 1985",
"Jul 17, 1985",
"Aug 2, 1985",
"Oct 21, 1985",
"Nov 6, 1985",
"Jan 9, 1986",
"Feb 10, 1986","6,730"
"Mar 30, 1986","5,011"
"Apr 15, 1986",803
"May 17, 1986",820
"Jun 2, 1986",641
"Jun 18, 1986",607
"Jul 4, 1986",
"Jul 20, 1986",
"Aug 5, 1986",525
"Aug 21, 1986",492
"Sep 6, 1986",
"Jan 12, 1987",
"Mar 17, 1987",
"Apr 2, 1987",
"Apr 18, 1987",869
"May 4, 1987",923
"Jun 5, 1987",
"Jun 21, 1987",683
"Jul 7, 1987",
"Jul 23, 1987",
"Aug 8, 1987",505
"Aug 24, 1987",528
"Sep 9, 1987",
"Sep 25, 1987",557
"Oct 11, 1987",
"Nov 12, 1987",
"Mar 3, 1988","5,763"
"Apr 20, 1988",737
"May 6, 1988",892
"May 22, 1988",623
"Jun 7, 1988",581
"Jul 9, 1988",563
"Jul 25, 1988",578
"Aug 10, 1988",578
"Aug 26, 1988",
"Sep 11, 1988",
"Oct 13, 1988",635
"Nov 30, 1988",
"Feb 18, 1989","6,278"
"Mar 6, 1989","6,520"
"Apr 7, 1989",
"Apr 23, 1989",
"May 9, 1989",843
"Jun 10, 1989",516
"Jul 28, 1989",
"Aug 13, 1989",
"Sep 14, 1989",509
"Sep 30, 1989",675
"Dec 19, 1989",
"Apr 10, 1990",
"May 12, 1990",851
"May 28, 1990",750
"Jun 13, 1990",549
"Jun 29, 1990",807
"Jul 15, 1990",779
"Jul 31, 1990",510
"Aug 16, 1990",494
"Sep 1, 1990",490
"Sep 17, 1990",556
"Dec 6, 1990",
"Dec 22, 1990","4,893"
"Jan 23, 1991",
"Feb 8, 1991","3,922"
"Feb 24, 1991","4,932"
"Mar 12, 1991","5,055"
"Apr 13, 1991","1,239"
"May 15, 1991",767
"May 31, 1991",
"Jun 16, 1991",532
"Jul 18, 1991",
"Sep 4, 1991",464
"Sep 20, 1991",574
"Oct 6, 1991",
"Nov 7, 1991","4,901"
"Nov 23, 1991",
"Jan 10, 1992","4,779"
"Feb 11, 1992","4,429"
"Mar 14, 1992",
"Mar 30, 1992","3,920"
"Jun 2, 1992",
"Jul 20, 1992","1,018"
"Aug 5, 1992",
"Aug 21, 1992",788
"Sep 6, 1992",424
"Sep 22, 1992",789
"Oct 8, 1992",
"Oct 24, 1992",
"Dec 27, 1992",
"Feb 13, 1993","4,312"
"Mar 1, 1993","5,136"
"Mar 17, 1993","4,828"
"Apr 2, 1993","1,367"
"Apr 18, 1993","1,022"
"May 4, 1993",822
"May 20, 1993",
"Jun 5, 1993",890
"Jun 21, 1993",
"Jul 7, 1993",
"Aug 8, 1993",395
"Aug 24, 1993",396
"Sep 9, 1993",418
"Sep 25, 1993",624
"Oct 11, 1993",636
"Oct 27, 1993",
"Nov 12, 1993",
"Jan 15, 1994","3,580"
"Jan 31, 1994","4,243"
"Mar 4, 1994","3,639"
"Apr 5, 1994","2,163"
"Apr 21, 1994",
"May 7, 1994",782
"May 23, 1994",
"Jun 8, 1994",432
"Jun 24, 1994",421
"Jul 10, 1994",451
"Aug 11, 1994",492
"Oct 14, 1994",
"Oct 30, 1994",488
"Nov 15, 1994",437
"Jan 2, 1995",
"Jan 18, 1995","2,258"
"Mar 7, 1995","4,001"
"Apr 8, 1995",706
"Apr 24, 1995",298
"May 26, 1995",659
"Jun 11, 1995",591
"Jul 13, 1995",566
"Jul 29, 1995",362
"Aug 14, 1995",400
"Aug 30, 1995",748
"Oct 17, 1995",343
"Feb 22, 1996","4,338"
"Mar 9, 1996","4,769"
"Mar 25, 1996",
"Apr 10, 1996",
"Apr 26, 1996","4,529"
"May 12, 1996",
"May 28, 1996",616
"Jun 13, 1996",588
"Jul 31, 1996",349
"Aug 16, 1996",
"Aug 23, 1996",375
"Sep 1, 1996",307
"Sep 8, 1996",358
"Oct 3, 1996",673
