system:time_start,NIR
"Mar 16, 1984",
"Mar 26, 1984",
"Apr 9, 1984","2,039"
"Apr 25, 1984","1,860"
"May 27, 1984","2,516"
"Jun 28, 1984","4,279"
"Jul 14, 1984",
"Jul 30, 1984",
"Aug 15, 1984",
"Sep 16, 1984","2,774"
"Oct 2, 1984",
"Nov 3, 1984","1,427"
"Nov 19, 1984","2,677"
"Jan 22, 1985",
"Feb 7, 1985","7,389"
"Apr 12, 1985",
"Apr 28, 1985","1,818"
"Jun 15, 1985",
"Jul 17, 1985",
"Aug 2, 1985",
"Oct 21, 1985",
"Nov 6, 1985",
"Jan 9, 1986",
"Feb 10, 1986","7,317"
"Mar 30, 1986","5,126"
"Apr 15, 1986","1,825"
"May 17, 1986","2,289"
"Jun 2, 1986","3,158"
"Jun 18, 1986","3,880"
"Jul 4, 1986",
"Jul 20, 1986",
"Aug 5, 1986","3,776"
"Aug 21, 1986","3,377"
"Sep 6, 1986",
"Jan 12, 1987",
"Mar 17, 1987",
"Apr 2, 1987",
"Apr 18, 1987","2,015"
"May 4, 1987","2,019"
"Jun 5, 1987",
"Jun 21, 1987","4,123"
"Jul 7, 1987",
"Jul 23, 1987",
"Aug 8, 1987","3,686"
"Aug 24, 1987","3,286"
"Sep 9, 1987",
"Sep 25, 1987","2,087"
"Oct 11, 1987",
"Nov 12, 1987",
"Mar 3, 1988","5,988"
"Apr 20, 1988","1,742"
"May 6, 1988","1,996"
"May 22, 1988","1,350"
"Jun 7, 1988","3,628"
"Jul 9, 1988","3,988"
"Jul 25, 1988","4,032"
"Aug 10, 1988","3,737"
"Aug 26, 1988",
"Sep 11, 1988",
"Oct 13, 1988","1,606"
"Nov 30, 1988",
"Feb 18, 1989","6,846"
"Mar 6, 1989","7,125"
"Apr 7, 1989",
"Apr 23, 1989",
"May 9, 1989","1,905"
"Jun 10, 1989","3,645"
"Jul 28, 1989",
"Aug 13, 1989",
"Sep 14, 1989","2,871"
"Sep 30, 1989","2,388"
"Dec 19, 1989",
"Apr 10, 1990",
"May 12, 1990","2,060"
"May 28, 1990","2,392"
"Jun 13, 1990","3,754"
"Jun 29, 1990","4,587"
"Jul 15, 1990","3,441"
"Jul 31, 1990","3,543"
"Aug 16, 1990","3,384"
"Sep 1, 1990","3,104"
"Sep 17, 1990","2,794"
"Dec 6, 1990",
"Dec 22, 1990","5,489"
"Jan 23, 1991",
"Feb 8, 1991","4,331"
"Feb 24, 1991","5,636"
"Mar 12, 1991","5,561"
"Apr 13, 1991","2,437"
"May 15, 1991","2,203"
"May 31, 1991",
"Jun 16, 1991","3,870"
"Jul 18, 1991",
"Sep 4, 1991","2,885"
"Sep 20, 1991","2,467"
"Oct 6, 1991",
"Nov 7, 1991","5,665"
"Nov 23, 1991",
"Jan 10, 1992","5,382"
"Feb 11, 1992","4,985"
"Mar 14, 1992",
"Mar 30, 1992","4,202"
"Jun 2, 1992",
"Jul 20, 1992","3,098"
"Aug 5, 1992",
"Aug 21, 1992","3,979"
"Sep 6, 1992","1,941"
"Sep 22, 1992","2,823"
"Oct 8, 1992",
"Oct 24, 1992",
"Dec 27, 1992",
"Feb 13, 1993","4,869"
"Mar 1, 1993","5,702"
"Mar 17, 1993","5,710"
"Apr 2, 1993","2,501"
"Apr 18, 1993","2,005"
"May 4, 1993","1,939"
"May 20, 1993",
"Jun 5, 1993","3,825"
"Jun 21, 1993",
"Jul 7, 1993",
"Aug 8, 1993","3,841"
"Aug 24, 1993","3,404"
"Sep 9, 1993","2,119"
"Sep 25, 1993","2,643"
"Oct 11, 1993","1,938"
"Oct 27, 1993",
"Nov 12, 1993",
"Jan 15, 1994","4,053"
"Jan 31, 1994","5,078"
"Mar 4, 1994","3,986"
"Apr 5, 1994","3,019"
"Apr 21, 1994",
"May 7, 1994","2,079"
"May 23, 1994",
"Jun 8, 1994","4,020"
"Jun 24, 1994","4,315"
"Jul 10, 1994","4,491"
"Aug 11, 1994","3,702"
"Oct 14, 1994",
"Oct 30, 1994","1,284"
"Nov 15, 1994","1,214"
"Jan 2, 1995",
"Jan 18, 1995","2,058"
"Mar 7, 1995","4,652"
"Apr 8, 1995","1,676"
"Apr 24, 1995",549
"May 26, 1995","2,125"
"Jun 11, 1995","4,196"
"Jul 13, 1995","4,594"
"Jul 29, 1995","3,894"
"Aug 14, 1995","3,559"
"Aug 30, 1995","3,746"
