system:time_start,RED
"Mar 16, 1984",
"Mar 26, 1984",
"Apr 9, 1984","1,154"
"Apr 25, 1984","1,007"
"May 27, 1984",822
"Jun 28, 1984",380
"Jul 14, 1984",
"Jul 30, 1984",
"Aug 15, 1984",
"Sep 16, 1984",505
"Oct 2, 1984",
"Nov 3, 1984",895
"Nov 19, 1984","1,698"
"Jan 22, 1985",
"Feb 7, 1985","6,429"
"Apr 12, 1985",
"Apr 28, 1985",981
"Jun 15, 1985",
"Jul 17, 1985",
"Aug 2, 1985",
"Oct 21, 1985",
"Nov 6, 1985",
"Jan 9, 1986",
"Feb 10, 1986","6,813"
"Mar 30, 1986","5,085"
"Apr 15, 1986",981
"May 17, 1986",844
"Jun 2, 1986",543
"Jun 18, 1986",366
"Jul 4, 1986",
"Jul 20, 1986",
"Aug 5, 1986",363
"Aug 21, 1986",365
"Sep 6, 1986",
"Jan 12, 1987",
"Mar 17, 1987",
"Apr 2, 1987",
"Apr 18, 1987","1,123"
"May 4, 1987","1,060"
"Jun 5, 1987",
"Jun 21, 1987",486
"Jul 7, 1987",
"Jul 23, 1987",
"Aug 8, 1987",346
"Aug 24, 1987",357
"Sep 9, 1987",
"Sep 25, 1987",543
"Oct 11, 1987",
"Nov 12, 1987",
"Mar 3, 1988","5,870"
"Apr 20, 1988",961
"May 6, 1988","1,069"
"May 22, 1988",619
"Jun 7, 1988",433
"Jul 9, 1988",381
"Jul 25, 1988",328
"Aug 10, 1988",411
"Aug 26, 1988",
"Sep 11, 1988",
"Oct 13, 1988",651
"Nov 30, 1988",
"Feb 18, 1989","6,338"
"Mar 6, 1989","6,640"
"Apr 7, 1989",
"Apr 23, 1989",
"May 9, 1989","1,013"
"Jun 10, 1989",404
"Jul 28, 1989",
"Aug 13, 1989",
"Sep 14, 1989",424
"Sep 30, 1989",733
"Dec 19, 1989",
"Apr 10, 1990",
"May 12, 1990","1,047"
"May 28, 1990",788
"Jun 13, 1990",373
"Jun 29, 1990",557
"Jul 15, 1990",557
"Jul 31, 1990",324
"Aug 16, 1990",364
"Sep 1, 1990",384
"Sep 17, 1990",507
"Dec 6, 1990",
"Dec 22, 1990","4,873"
"Jan 23, 1991",
"Feb 8, 1991","3,989"
"Feb 24, 1991","5,017"
"Mar 12, 1991","5,025"
"Apr 13, 1991","1,329"
"May 15, 1991",837
"May 31, 1991",
"Jun 16, 1991",334
"Jul 18, 1991",
"Sep 4, 1991",396
"Sep 20, 1991",446
"Oct 6, 1991",
"Nov 7, 1991","4,999"
"Nov 23, 1991",
"Jan 10, 1992","4,694"
"Feb 11, 1992","4,429"
"Mar 14, 1992",
"Mar 30, 1992","4,061"
"Jun 2, 1992",
"Jul 20, 1992",870
"Aug 5, 1992",
"Aug 21, 1992",621
"Sep 6, 1992",326
"Sep 22, 1992",728
"Oct 8, 1992",
"Oct 24, 1992",
"Dec 27, 1992",
"Feb 13, 1993","4,324"
"Mar 1, 1993","5,268"
"Mar 17, 1993","4,968"
"Apr 2, 1993","1,584"
"Apr 18, 1993","1,149"
"May 4, 1993","1,001"
"May 20, 1993",
"Jun 5, 1993",778
"Jun 21, 1993",
"Jul 7, 1993",
"Aug 8, 1993",278
"Aug 24, 1993",241
"Sep 9, 1993",390
"Sep 25, 1993",556
"Oct 11, 1993",747
"Oct 27, 1993",
"Nov 12, 1993",
"Jan 15, 1994","3,530"
"Jan 31, 1994","4,406"
"Mar 4, 1994","3,657"
"Apr 5, 1994","2,380"
"Apr 21, 1994",
"May 7, 1994","1,027"
"May 23, 1994",
"Jun 8, 1994",293
"Jun 24, 1994",307
"Jul 10, 1994",302
"Aug 11, 1994",342
"Oct 14, 1994",
"Oct 30, 1994",553
"Nov 15, 1994",471
"Jan 2, 1995",
"Jan 18, 1995","1,934"
"Mar 7, 1995","4,047"
"Apr 8, 1995",837
"Apr 24, 1995",298
"May 26, 1995",742
"Jun 11, 1995",438
"Jul 13, 1995",444
"Jul 29, 1995",254
"Aug 14, 1995",243
"Aug 30, 1995",600
"Oct 17, 1995",376
"Feb 22, 1996","4,433"
"Mar 9, 1996","4,865"
"Mar 25, 1996",
"Apr 10, 1996",
"Apr 26, 1996","4,725"
"May 12, 1996",
"May 28, 1996",553
"Jun 13, 1996",465
"Jul 31, 1996",243
"Aug 16, 1996",
"Aug 23, 1996",260
"Sep 1, 1996",227
"Sep 8, 1996",273
