system:time_start,SWIR1
"Mar 16, 1984",
"Mar 26, 1984",
"Apr 9, 1984","2,461"
"Apr 25, 1984","3,049"
"May 27, 1984","2,678"
"Jun 28, 1984","2,384"
"Jul 14, 1984",
"Jul 30, 1984",
"Aug 15, 1984",
"Sep 16, 1984","2,288"
"Oct 2, 1984",
"Nov 3, 1984","1,044"
"Nov 19, 1984","1,674"
"Jan 22, 1985",
"Feb 7, 1985","1,491"
"Apr 12, 1985",
"Apr 28, 1985","2,814"
"Jun 15, 1985",
"Jul 17, 1985",
"Aug 2, 1985",
"Oct 21, 1985",
"Nov 6, 1985",
"Jan 9, 1986",
"Feb 10, 1986","1,748"
"Mar 30, 1986",346
"Apr 15, 1986","2,497"
"May 17, 1986","2,692"
"Jun 2, 1986","2,264"
"Jun 18, 1986","2,125"
"Jul 4, 1986",
"Jul 20, 1986",
"Aug 5, 1986","2,121"
"Aug 21, 1986","2,012"
"Sep 6, 1986",
"Jan 12, 1987",
"Mar 17, 1987",
"Apr 2, 1987",
"Apr 18, 1987","3,069"
"May 4, 1987","2,682"
"Jun 5, 1987",
"Jun 21, 1987","2,242"
"Jul 7, 1987",
"Jul 23, 1987",
"Aug 8, 1987","2,041"
"Aug 24, 1987","1,936"
"Sep 9, 1987",
"Sep 25, 1987","2,460"
"Oct 11, 1987",
"Nov 12, 1987",
"Mar 3, 1988",829
"Apr 20, 1988","2,911"
"May 6, 1988","3,049"
"May 22, 1988","1,134"
"Jun 7, 1988","2,020"
"Jul 9, 1988","1,989"
"Jul 25, 1988","1,947"
"Aug 10, 1988","1,833"
"Aug 26, 1988",
"Sep 11, 1988",
"Oct 13, 1988","2,273"
"Nov 30, 1988",
"Feb 18, 1989","1,263"
"Mar 6, 1989","1,180"
"Apr 7, 1989",
"Apr 23, 1989",
"May 9, 1989","2,825"
"Jun 10, 1989","1,892"
"Jul 28, 1989",
"Aug 13, 1989",
"Sep 14, 1989","1,775"
"Sep 30, 1989","2,323"
"Dec 19, 1989",
"Apr 10, 1990",
"May 12, 1990","2,837"
"May 28, 1990","2,411"
"Jun 13, 1990","1,807"
"Jun 29, 1990","2,156"
"Jul 15, 1990","1,638"
"Jul 31, 1990","1,890"
"Aug 16, 1990","1,878"
"Sep 1, 1990","1,911"
"Sep 17, 1990","1,965"
"Dec 6, 1990",
"Dec 22, 1990","1,500"
"Jan 23, 1991",
"Feb 8, 1991",559
"Feb 24, 1991","1,339"
"Mar 12, 1991",792
"Apr 13, 1991","2,560"
"May 15, 1991","2,233"
"May 31, 1991",
"Jun 16, 1991","1,824"
"Jul 18, 1991",
"Sep 4, 1991","1,766"
"Sep 20, 1991","1,844"
"Oct 6, 1991",
"Nov 7, 1991","1,469"
"Nov 23, 1991",
"Jan 10, 1992","1,469"
"Feb 11, 1992","1,325"
"Mar 14, 1992",
"Mar 30, 1992",519
"Jun 2, 1992",
"Jul 20, 1992","1,006"
"Aug 5, 1992",
"Aug 21, 1992","1,804"
"Sep 6, 1992",836
"Sep 22, 1992","2,052"
"Oct 8, 1992",
"Oct 24, 1992",
"Dec 27, 1992",
"Feb 13, 1993","1,414"
"Mar 1, 1993",749
"Mar 17, 1993","1,245"
"Apr 2, 1993","1,937"
"Apr 18, 1993","1,943"
"May 4, 1993","2,647"
"May 20, 1993",
"Jun 5, 1993","2,235"
"Jun 21, 1993",
"Jul 7, 1993",
"Aug 8, 1993","1,654"
"Aug 24, 1993","1,452"
"Sep 9, 1993",889
"Sep 25, 1993","1,706"
"Oct 11, 1993","2,119"
"Oct 27, 1993",
"Nov 12, 1993",
"Jan 15, 1994","1,407"
"Jan 31, 1994","1,199"
"Mar 4, 1994",604
"Apr 5, 1994","1,639"
"Apr 21, 1994",
"May 7, 1994","2,838"
"May 23, 1994",
"Jun 8, 1994","1,655"
"Jun 24, 1994","1,661"
"Jul 10, 1994","1,680"
"Aug 11, 1994","1,639"
"Oct 14, 1994",
"Oct 30, 1994","1,680"
"Nov 15, 1994","1,135"
"Jan 2, 1995",
"Jan 18, 1995",950
"Mar 7, 1995","1,433"
"Apr 8, 1995","2,268"
"Apr 24, 1995",356
"May 26, 1995","2,216"
"Jun 11, 1995","1,759"
"Jul 13, 1995","1,808"
"Jul 29, 1995","1,568"
"Aug 14, 1995","1,466"
"Aug 30, 1995","1,554"
"Oct 17, 1995",626
"Feb 22, 1996","4,580"
