sites,latitude,longitude,depth_top_cm,depth_bottom_cm,texture_code,texture_description,horizon_name
AK06_site_1-25663,44.3211,-73.8991,0,3,HPM,Highly decomposed plant material,Oa
AK06_site_1-25663,44.3211,-73.8991,3,8,FSL,Fine sandy loam,E
AK06_site_1-25663,44.3211,-73.8991,8,13,FSL,Fine sandy loam,Bh
AK06_site_1-25663,44.3211,-73.8991,13,36,FSL,Fine sandy loam,Bs1
AK06_site_1-25663,44.3211,-73.8991,36,69,CB-FSL,Cobbly fine sandy loam,Bs2
AK06_site_1-25663,44.3211,-73.8991,69,94,CBV-FSL,Very cobbly fine sandy loam,Cd1
AK06_site_1-25663,44.3211,-73.8991,94,183,CBV-LS,Very cobbly loamy sand,Cd2
AK60_site_1-25674,43.5821,-74.5107,0,15,L,Loam,A
AK60_site_1-25674,43.5821,-74.5107,15,25,SL,Sandy loam,E
AK60_site_1-25674,43.5821,-74.5107,25,74,SL,Sandy loam,H3
AK60_site_1-25674,43.5821,-74.5107,74,99,SL,Sandy loam,Cd
AK60_site_1-25674,43.5821,-74.5107,99,119,UWB,Unweathered bedrock,R
BH02_site_1-25665,43.3724,-89.9071,0,10,UWB,Unweathered bedrock,H1
BH03_site_1-25666,43.3919,-89.8454,0,15,ST-SIL,Stony silt loam,H1
BH03_site_1-25666,43.3919,-89.8454,15,86,CB-SIL,Cobbly silt loam,H2
BH03_site_1-25666,43.3919,-89.8454,86,97,UWB,Unweathered bedrock,H3
BH05_site_1-25667,43.408,-89.8231,0,15,ST-SIL,Stony silt loam,H1
BH05_site_1-25667,43.408,-89.8231,15,86,CB-SIL,Cobbly silt loam,H2
BH05_site_1-25667,43.408,-89.8231,86,97,UWB,Unweathered bedrock,H3
BH06_site_1-25668,43.4288,-89.8293,0,15,ST-SIL,Stony silt loam,H1
BH06_site_1-25668,43.4288,-89.8293,15,86,CB-SIL,Cobbly silt loam,H2
BH06_site_1-25668,43.4288,-89.8293,86,97,UWB,Unweathered bedrock,H3
BH07_site_1-25669,43.4199,-89.8011,0,15,ST-SIL,Stony silt loam,H1
BH07_site_1-25669,43.4199,-89.8011,15,86,CB-SIL,Cobbly silt loam,H2
BH07_site_1-25669,43.4199,-89.8011,86,97,UWB,Unweathered bedrock,H3
BH10_site_1-25670,43.4052,-89.7619,0,15,ST-SIL,Stony silt loam,H1
BH10_site_1-25670,43.4052,-89.7619,15,86,CB-SIL,Cobbly silt loam,H2
